slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
hotaruika-no-sumisoae,ほたるいかの酢味噌和え,Hotaruika no Sumisoae,Hotaru ika no sumisoae — firefly squid with vinegar-miso and mustard,富山県,滑川市,36.7628,137.3453,,dish,ゆでて目を取ったホタルイカに、ワケギを添えて辛子酢味噌をかける。3月に富山湾沿岸へ産卵のため群れで浮かび上がるホタルイカを使う春の一皿で、江戸期にはすでに漁が行われていたとされる。,"Boiled firefly squid, its eyes removed, is paired with scallion and dressed in a mustard-vinegar-miso sauce — a spring dish built on squid said to have been fished from Toyama Bay's shores since the Edo period, rising in shimmering shoals each March to spawn.",ほたるいかの酢味噌和え 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_1_toyama.html,農林水産省,2026-09-08
su-zuki,酢ずき,Suzuki,Suzuki — pickled taro stem in sweet vinegar,富山県,,36.6953,137.2113,,dish,里芋の葉柄「ずいき」を短く切ってあくを抜き、甘酢に漬け込む。酢に漬けると赤色が鮮やかに発色するとされ、シャキシャキとした歯ごたえから産後の女性が食べる食材としても知られてきた。,"Taro stems, known as zuiki, are cut short, had their bitterness drawn out, and pickled in sweet vinegar — the vinegar is said to brighten their red color, and the crunchy stems have long been eaten by women recovering after childbirth.",酢ずき 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_3_toyama.html,農林水産省,2026-09-08
toyama-buridaikon,ぶり大根,Buri Daikon,"Buri daikon — yellowtail simmered with daikon, Toyama style",富山県,氷見市,36.8578,136.9861,,dish,ブリのあらを大根とじっくり煮込む、富山湾の寒ブリ料理の代表格。氷見で水揚げされるブリは「ひみ寒ブリ」としてブランド化され、嫁ぎ先へ一本のブリを贈る「嫁ブリ」の風習とも結びつく。,"Yellowtail trimmings are slow-simmered with daikon, the signature dish built on Toyama Bay's winter yellowtail — fish landed at Himi are branded ""Himi kan-buri,"" and the custom of gifting a whole yellowtail to a newly married daughter ties the dish to marriage.",ぶり大根 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_4_toyama.html,農林水産省,2026-09-08
itokoni,いとこ煮,Itokoni,Itokoni — azuki beans simmered with root vegetables,富山県,,36.6953,137.2113,,dish,親鸞聖人の好物とされる小豆を、ごぼうや大根、里芋などの根菜とともに煮る。報恩講で作られる一品とされ、県東部では「にざい」と呼ばれ具材を大きめに切るなど地域差がある。,"Azuki beans, said to have been a favorite of the Jodo Shinshu founder, are simmered with burdock, daikon, and taro — made for the memorial gathering known as houonko, called ""nizai"" in the east of the prefecture, where the vegetables are cut larger.",いとこ煮／にざい 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_6_toyama.html,農林水産省,2026-09-08
toyama-konbumaki,昆布巻き,Konbumaki,"Konbumaki — herring rolled in kelp, Toyama style",富山県,,36.6953,137.2113,,dish,北前船が運んだ昆布とニシンを組み合わせ、甘く煮付ける正月のごちそう。厚みのある昆布はとろりと柔らかく、ニシン以外にイワシやホタルイカ、ブリなど旬の素材を巻くこともあるとされる。,"Kelp and herring, both said to have arrived on Kitamae-bune trading ships, are rolled together and simmered sweet for New Year — the thick kelp turns silky soft, and sardine, firefly squid, or yellowtail sometimes stand in for the herring.",昆布巻き 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_10_toyama.html,農林水産省,2026-09-08
toyama-kobujime,昆布〆,Kobujime,"Kobujime — raw fish cured between sheets of kelp, Toyama style",富山県,,36.6953,137.2113,,dish,刺身にした魚を昆布で挟んで一晩寝かせる。冷蔵庫のない時代に水分を吸わせて保存性を高めた手法とされ、県民が「サス」と呼ぶカジキマグロのほか、タイやシロエビ、ホタルイカも使われる。,"Sliced raw fish is sandwiched between sheets of kelp and left overnight — said to have begun as a way to draw out moisture and extend keeping time before refrigeration, most often with the marlin locally called ""sasu,"" but also sea bream, white shrimp, or firefly squid.",昆布〆 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_12_toyama.html,農林水産省,2026-09-08
yogoshi,よごし,Yogoshi,Yogoshi — greens and vegetables chopped and simmered with miso,富山県,砺波市,36.6503,136.9622,,dish,ゆでた大根葉や里芋の葉などを細かく刻み、ごま油で炒めて味噌で味を調える。夜に仕込んで翌朝食べる「夜越し」が名の由来とされ、報恩講では畑のキャビアと呼ばれるほうきんの実を使う。,"Boiled greens such as daikon leaves or taro leaves are chopped fine, pan-fried in sesame oil, and seasoned with miso — its name said to come from being made the night before and eaten the next morning, with houonko versions using the tiny, caviar-like seeds of broom grass.",よごし／ごま味噌和え 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_14_toyama.html,農林水産省,2026-09-08
osuwai,おすわい,Osuwai,Osuwai — daikon and carrot dressed in sweet vinegar,富山県,,36.6953,137.2113,,dish,千切りにした大根と人参を、油揚げとともに甘酢で和える。「お酢和え」が訛った名とされ、なますに近い一品。正月の重箱には紅白の彩りとして欠かせず、常備菜として作られる日常食でもある。,"Julienned daikon and carrot are dressed in sweet vinegar with fried tofu — its name said to be a contraction of ""su-ae,"" or vinegar dressing, close in spirit to namasu. Its red and white colors make it a fixture of New Year's boxed meals, and it doubles as an everyday side.",おすわい／すばい 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_15_toyama.html,農林水産省,2026-09-08
bai-no-nimono,ばいの煮もの,Bai no Nimono,Bai no nimono — whole whelk simmered in the shell,富山県,,36.6953,137.2113,,dish,富山湾の深海にすむ巻貝バイを、殻ごと出汁で煮る。「めでたいことが倍になる」という語呂から祝いの席に登場するとされ、小ぶりなツバイは煮物、大ぶりなものは刺身で食べ分けられる。,"Whelks from the deep waters of Toyama Bay are simmered whole in their shells — said to appear at celebrations thanks to a play on words suggesting doubled good fortune, with smaller whelks simmered and larger ones eaten raw.",ばいの煮もの 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_16_toyama.html,農林水産省,2026-09-08
burishabu,ぶりしゃぶ,Burishabu,Burishabu — yellowtail shabu-shabu,富山県,氷見市,36.8578,136.9861,,dish,薄くそぎ切りにしたブリを昆布だしにさっとくぐらせて食べる。表面だけ火が入り中はレアな状態になるとされ、氷見漁港で揚がる「ひみ寒ぶり」を使ったものは特に贅沢な冬のご馳走とされる。,"Thin slices of yellowtail are swished briefly through kelp broth, said to cook only the surface while leaving the center rare — versions using Himi's branded winter yellowtail are considered a particularly luxurious cold-weather treat.",ぶりしゃぶ 富山県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/37_18_toyama.html,農林水産省,2026-09-08
