from_slug,to_slug,relation_type
hotaruika-no-sumisoae,shiroebi-no-kakiage,対比
tarajiru,genge-no-misoshiru,対比
su-zuki,osuwai,兄弟
toyama-buridaikon,ishikawa-buridaikon,対比
itokoni,itokojiru,兄弟
tororo-konbu-onigiri,tororo-konbu,使用食材
osezushi,kaga-oshizushi,対比
shiroebi-no-kakiage,surimi-age,対比
toyama-konbumaki,nishin-no-konbumaki,兄弟
kuromame-okowa,mitama,兄弟
toyama-kobujime,sawara-no-kobujime,兄弟
kurozukuri,toyama-kobujime,対比
yogoshi,hoonko-ryori,兄弟
osuwai,su-zuki,兄弟
bai-no-nimono,sazaemeshi,対比
yakitsuke,mikka-no-dangojiru,対比
burishabu,toyama-buridaikon,兄弟
ika-to-satoimo-no-nimono,kurozukuri,対比
takenoko-no-misoni,takenoko-konbu,兄弟
hoonko-ryori,yogoshi,兄弟
toyama-zoni,kobumaki-kamaboko,使用食材
myoga-zushi,osezushi,対比
shiroebi-somen,himi,対比
surimi-age,shiroebi-no-kakiage,対比
genge-no-misoshiru,megisu-no-dangojiru,対比
mikka-no-dangojiru,yakitsuke,対比
tsuboni,hoonko-ryori,対比
bekko,ebisu,兄弟
