from_slug,to_slug,relation_type
okaisan,umeboshi,使用食材
mehari-zushi,shirasu,使用食材
onomi-no-sashimi,utsubo-ryouri,対比
goma-toufu,goma-gohan,対比
igami-no-nitsuke,tachiuo-ryouri,対比
utsubo-ryouri,onomi-no-sashimi,対比
kakimade-gohan,saba,使用食材
kaki-maburi,kakimade-gohan,対比
wakayama-kokera-zushi,kokera-zushi,対比
mikan-mochi,inoko-mochi,対比
inoko-mochi,mikan-mochi,対比
wakayama-imomochi,hokkaido-imomochi,対比
uzumi,bouri,対比
mame-gohan,shouga-meshi,対比
gonpachi-no-abura-itame,mame-gohan,対比
shouga-meshi,mame-gohan,対比
tachiuo-ryouri,igami-no-nitsuke,対比
hatagonbo-zushi,wakame-zushi,対比
bouri,uzumi,対比
wakame-zushi,wakame,使用食材
wasabi-zushi,saba,使用食材
