item_slug,tag_slug
shokuyogiku-ohitashi,soy_sauce
shokuyogiku-ohitashi,cold_served
nattojiru,miso
nattojiru,fermented
dongarajiru,miso
imoni,beef
imoni,soy_sauce
shoyu-no-mi,soy_sauce
shoyu-no-mi,fermented
udo-shimidaikon-donkoroni,freeze_dried
udo-shimidaikon-donkoroni,soy_sauce
warabi-tataki,miso
shiobiki-zushi,ceremonial
kukitachiboshi-no-nimono,soy_sauce
tama-konnyaku,soy_sauce
tama-konnyaku,skewered
tama-konnyaku,street_food
tamago-kanten,egg
tamago-kanten,soy_sauce
tamago-kanten,ceremonial
masu-no-ankake,ceremonial
okahijiki-no-karashiae,spicy
karakai-ni,soy_sauce
karakai-ni,ceremonial
hatahata-no-yuage,soy_sauce
akebi-no-miso-zumeyaki,miso
ukogi-no-kiriae,miso
koi-no-umani,soy_sauce
koi-no-umani,ceremonial
hyoboshi-no-nimono,soy_sauce
hyoboshi-no-nimono,ceremonial
sasamaki,ceremonial
toyama-kabu-no-kasujiru,miso
toyama-kabu-no-kasujiru,fermented
shio-kujira-jiru,miso
yonezawa-hiyajiru,cold_served
yonezawa-hiyajiru,ceremonial
mosojiru,miso
