slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
shokuyogiku-ohitashi,食用ぎくのおひたし,Shokuyogiku no Ohitashi,Shokuyogiku ohitashi — blanched edible chrysanthemum petals dressed in soy sauce,山形県,,38.2404,140.3633,,dish,紫色の食用ぎく「もってのほか」の花びらだけを摘み、酢を落とした湯でさっと茹でて醤油をかける。筒状の花弁が生むしゃきしゃきした歯ごたえとほろ苦さを、山形の家庭では秋の惣菜として日常的に味わうという。,Petals of the purple 'mottenohoka' chrysanthemum are quickly blanched in vinegared water and dressed with soy sauce. Their tube-shaped petals give a crisp bite and gentle bitterness said to make this an everyday autumn side in Yamagata homes.,食用ぎくのおひたし 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shokuyogikunoohitashi_yamagata.html,農林水産省,2026-09-08
udo-shimidaikon-donkoroni,うどと凍み大根のどんころ煮,Udo to Shimidaikon no Donkoroni,Udo and shimidaikon donkoroni — spring udo simmered with freeze-dried winter daikon,山形県,,38.7639,140.3009,,dish,厳寒期に大根を茹でて雪の上で凍らせ、軒先で干して仕上げる「凍み大根」と、春に芽吹くうどを身欠きニシンと一緒に煮る最上地域の料理。うどを切った切り口が丸太に似ることから”どんころ”と呼ぶという。,"Daikon boiled, frozen on the snow, and dried under the eaves through the coldest weeks becomes shimidaikon, simmered here with spring udo and dried herring — a dish of the Mogami region. Udo's cut cross-section is said to resemble a log, donkoro, which gives the dish its name.",うどと凍み大根のどんころ煮 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/udotoshimidaikonnodonkoroni_yamagata.html,農林水産省,2026-09-08
warabi-tataki,わらびたたき,Warabi Tataki,Warabi tataki — spring fiddlehead ferns pounded fine with miso and sansho,山形県,,38.7639,140.3009,,dish,アク抜きしたわらびをまな板の上で包丁で叩いて繊維を断ち切り、焼き味噌とすりつぶした山椒の葉を加えてさらに叩く。とろとろの食感になるまで仕上げたものを熱いご飯やそばにのせる、山形北部の春の味という。,"Fiddlehead ferns, their bitterness drawn out, are pounded on a cutting board to break their fibers, then worked further with roasted miso and ground sansho leaf until silky. Spooned over hot rice or soba, it is said to mark spring in northern Yamagata.",わらびたたき 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/warabitataki_yamagata.html,農林水産省,2026-09-08
kukitachiboshi-no-nimono,くきたち干しの煮物,Kukitachiboshi no Nimono,Kukitachiboshi no nimono — sun-dried brassica greens simmered with fried tofu,山形県,米沢市,37.9222,140.117,,dish,アブラナ科の野菜「くきたち」を茹でて4、5日天日に干した保存食を戻し、油揚げや糸こんにゃくと炒め煮にする。青物が絶える冬に備えて蓄えた干し野菜を使う、置賜・村山に伝わる家庭のおかずという。,"Kukitachi, a brassica green, is boiled and sun-dried for four or five days into a keeping food, then rehydrated and simmered with fried tofu and shirataki. Put up against a winter with no fresh greens, it is a home side dish handed down in the Okitama and Murayama areas.",くきたち干しの煮物 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kukitachihoshinonimono_yamagata.html,農林水産省,2026-09-08
tama-konnyaku,玉こんにゃく,Tama Konnyaku,Tama konnyaku — bite-sized ball konnyaku simmered in soy broth and skewered,山形県,山形市,38.2404,140.3633,,dish,3センチほどの球状に成形したこんにゃくを水を使わず醤油だけで煮て、練り辛子を添えて串のまま食べる。山寺こと立石寺の精進料理からこんにゃく食が広まったと伝わり、参道の力こんにゃくとして親しまれている。,"Konnyaku shaped into balls about three centimeters across is simmered in soy sauce alone, no water added, and eaten off the skewer with hot mustard. Konnyaku eating is said to have spread from the temple cooking of Risshaku-ji, known as Yamadera, and it is a familiar snack along the temple's approach.",玉こんにゃく 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tamakonnyaku_yamagata.html,農林水産省,2026-09-08
masu-no-ankake,鱒のあんかけ,Masu no Ankake,"Masu no ankake — poached cherry salmon under a sweet, cold starch glaze",山形県,,38.7274,139.8271,,dish,県魚のサクラマスをゆでてニラを添え、くず粉でとろみをつけた甘いあんを冷たいままかける庄内の春のごちそう。北前船で西日本のあんかけ文化が伝わったとされ、酒田まつりなど祝いの席の定番という。,"Poached sakuramasu is topped with chives and a sweet kudzu-starch glaze served cold rather than hot — a spring feast of the Shonai coast. The technique is said to have arrived from western Japan via the Kitamae cargo ships, and it remains a fixture of festivals like the Sakata Matsuri.",鱒のあんかけ 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/masunoankake_yamagata.html,農林水産省,2026-09-08
okahijiki-no-karashiae,おかひじきのからし和え,Okahijiki no Karashiae,Okahijiki no karashiae — crunchy land-samphire dressed with hot mustard,山形県,南陽市,38.023,140.1121,,dish,海藻のひじきに似た野草おかひじきを辛子醤油で和える一品。もとは庄内の海岸に自生していた種が最上川を渡って南陽市に伝わり栽培が始まったとされ、江戸期の文献にも産地として記されているという。,"Okahijiki, a land plant that resembles the seaweed hijiki, is dressed with hot mustard and soy sauce. Its seed is said to have traveled up the Mogami River from the Shonai coast to Nanyo, where cultivation began, and an Edo-period text already records the area as its source.",おかひじきのからし和え 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/okahijikinokarashiae_yamagata.html,農林水産省,2026-09-08
karakai-ni,からかい煮,Karakai-ni,Karakai-ni — dried skate cartilage simmered until soft and gelatinous,山形県,,38.2404,140.3633,,dish,北海道でとれるエイのヒレを乾燥させた「からかい」を2、3日かけて水で戻し、骨がやわらかくなるまでじっくり煮る内陸の郷土料理。プルプルとした軟骨とコラーゲンの食感が特徴で、正月や祭りに供されるという。,"Dried skate fin from Hokkaido, called karakai, is soaked for two or three days and simmered slowly until the bone softens — an inland dish built around its jelly-soft, collagen-rich cartilage. It is said to appear at New Year and festival tables.",からかい煮 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/karakaini_yamagata.html,農林水産省,2026-09-08
hatahata-no-yuage,ハタハタの湯上げ,Hatahata no Yuage,Hatahata no yuage — scaleless sailfin sandfish simply boiled and served with soy,山形県,,38.7274,139.8271,,dish,産卵のため庄内浜に押し寄せるハタハタを丸ごと湯がき、大根おろしと醤油だけで食べるシンプルな冬の魚料理。うろこがなく下処理が手軽なことから、庄内の秋冬の食卓に定着してきたという。,"Hatahata, scaleless sailfin sandfish that crowd the Shonai coast to spawn, are boiled whole and eaten with nothing more than grated daikon and soy sauce — a simple winter fish dish. With no scales to remove, it is said to have become a fixture of Shonai's autumn and winter table.",ハタハタの湯上げ 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/hatahatanoyuage_yamagata.html,農林水産省,2026-09-08
ukogi-no-kiriae,うこぎの切り和え,Ukogi no Kiriae,Ukogi no kiriae — hedge-shrub greens minced and tossed with roasted miso,山形県,米沢市,37.9222,140.117,,dish,米沢藩9代藩主・上杉鷹山が垣根として植えることを推奨したうこぎの新芽を茹でて刻み、焼き味噌をのせて食べる置賜地域の春の味。トゲが防犯の垣根にも食用にもなった、飢饉への備えの知恵と伝わる。,"Ukogi, a hedge shrub the ninth Yonezawa lord Uesugi Yozan is said to have encouraged planting as a living fence, has its new shoots boiled, minced, and topped with roasted miso — a spring taste of the Okitama area. The same thorny hedge that guarded a house also fed it, wisdom said to date to years of famine.",うこぎの切り和え 山形県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ukoginokiriae_yamagata.html,農林水産省,2026-09-08
