from_slug,to_slug,relation_type
shokuyogiku-ohitashi,yamagata-dashi,対比
nattojiru,dongarajiru,兄弟
dongarajiru,nattojiru,兄弟
imoni,yamagata-gyu,使用食材
shoyu-no-mi,yamagata-dashi,対比
udo-shimidaikon-donkoroni,kukitachiboshi-no-nimono,兄弟
warabi-tataki,ukogi-no-kiriae,対比
shiobiki-zushi,sake-salmon,使用食材
kukitachiboshi-no-nimono,udo-shimidaikon-donkoroni,兄弟
tama-konnyaku,kujira-mochi,対比
tamago-kanten,masu-no-ankake,対比
masu-no-ankake,tamago-kanten,対比
okahijiki-no-karashiae,ukogi-no-kiriae,対比
karakai-ni,udo-shimidaikon-donkoroni,対比
hatahata-no-yuage,hatahata,使用食材
akebi-no-miso-zumeyaki,yamagata-dashi,対比
ukogi-no-kiriae,warabi-tataki,対比
koi-no-umani,koi,使用食材
hyoboshi-no-nimono,kukitachiboshi-no-nimono,兄弟
kujira-mochi,tama-konnyaku,対比
sasamaki,kujira-mochi,対比
toyama-kabu-no-kasujiru,yonezawa-hiyajiru,兄弟
shio-kujira-jiru,imoni,対比
yonezawa-hiyajiru,toyama-kabu-no-kasujiru,兄弟
mosojiru,tamago-kanten,対比
