slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
seida-no-tamaji,せいだのたまじ,Seida no Tamaji,Seida no tamaji — small skin-on potatoes simmered in sweet miso,山梨県,上野原市,35.6089,139.1478,,dish,小粒の皮つきじゃがいもを油で揚げてから味噌と砂糖で煮っころがす上野原市棡原の郷土料理。江戸後期の代官・中井清太夫が九州から取り寄せた種いもで村を飢饉から救ったことに由来すると伝わる。,"Small unpeeled potatoes are fried, then simmered down in sweetened miso — a dish from the Yuzurihara area of Uenohara city, said to trace back to a late-Edo-era official who brought seed potatoes from Kyushu and saved the village from famine.",せいだのたまじ 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/seidano_tamaji_yama_nashi.html,農林水産省,2026-09-08
awabi-no-nigai,あわびの煮貝,Awabi no Nigai,"Awabi no nigai — abalone simmered soft in soy sauce, an inland delicacy",山梨県,甲府市,35.6642,138.5684,,dish,駿河湾でとれたアワビを醤油に漬けて樽で運び、馬の体温に揺られるうちに味がしみ込んだという甲州の名産。薄切りにして肝と盛り合わせ、しそやきゅうりを添えて食べると伝わる、海のない山梨に残る海の幸。,"Abalone from Suruga Bay was soy-sauce-marinated and hauled in barrels by horse, the jostling and body heat said to have worked the flavor deep in — a specialty from landlocked Kofu. Sliced thin and paired with its liver, shiso, and cucumber, it endures as a taste of the sea inland.",あわびの煮貝 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/awabino_nigai_yama_nashi.html,農林水産省,2026-09-08
tori-motsuni,鳥もつ煮,Tori Motsuni,Tori motsuni — chicken giblets flash-glazed in a thick soy-sugar sauce,山梨県,甲府市,35.6642,138.5684,,dish,レバーや砂肝、はつを醤油と砂糖のたれで強火で短時間、照りが出るまで煮詰める甲府の一品。戦後まもない食糧難の時代、蕎麦屋の主人が捨てられるはずのもつを工夫して考案したのが始まりと伝わる。,"Chicken liver, gizzard, and heart are flash-glazed over high heat in a thick soy-sugar sauce until they shine — a Kofu dish said to have begun just after the war, when a soba shop owner found a use for giblets that would otherwise have been thrown away.",鳥もつ煮 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/torino_motsuni_yama_nashi.html,農林水産省,2026-09-08
memaki,めまき,Memaki,Memaki — fish wrapped triangular in seaweed and simmered for hours,山梨県,富士河口湖町,35.5064,138.759,,dish,ワカサギなどの魚を乾燥アラメで三角に巻き、10時間以上かけて醤油だれで柔らかく煮る富士河口湖町の一品。富士山信仰の参詣者を泊めた御師がふるまったとされ、三角の形は富士山を表すと伝わる。,"Smelt or other small fish are wrapped triangular in dried arame seaweed and simmered for over ten hours in a soy sauce broth until soft — a dish from Fujikawaguchiko town said to have been served by the oshi lodging-house keepers to Mount Fuji pilgrims, its triangle shape said to represent the mountain.",めまき 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/memaki_yama_nashi.html,農林水産省,2026-09-08
korogaki,枯露柿,Korogaki,Korogaki — a large dried persimmon sun-cured until its sugars crystalize white,山梨県,甲州市,35.7136,138.7392,,dish,皮をむいた渋柿を軒先で日に当てながらころころと向きを変えて干し上げる甲州市松里地域の干し柿。糖分が結晶化して白い粉を吹くまで乾かすのが特徴とされ、なますに刻んだり天ぷらにもすると伝わる。,Peeled astringent persimmons are hung under the eaves and turned in the sun until their sugars crystalize into a white bloom — a dried persimmon from the Matsuzato area of Koshu city. It is said to be chopped into a New Year salad or even fried in tempura.,枯露柿 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/korogaki_yama_nashi.html,農林水産省,2026-09-08
akebono-daizu-edamame,あけぼの大豆の枝豆,Akebono Daizu no Edamame,Akebono daizu edamame — a large-grained soybean picked young and salt-boiled,山梨県,身延町,35.3897,138.4408,,dish,通常の1.6倍という大粒の「あけぼの大豆」を塩ゆでにする身延町曙地域の枝豆。明治から続く在来種だが機械化になじまず生産者の高齢化で希少となり、「幻の大豆」とも呼ばれてきたと伝わる。,"The 'akebono' soybean, said to be 1.6 times the size of an ordinary bean, is picked young and salt-boiled — an edamame from the Akebono area of Minobu town. Grown since the Meiji era but resistant to mechanization, aging growers have made it scarce enough to be called a 'phantom bean'.",あけぼの大豆の枝豆 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/akebono_daizuno_edamame_yama_nashi.html,農林水産省,2026-09-08
usuyaki,うすやき,Usuyaki,"Usuyaki — a thin griddled flatbread of wheat flour, savory or sweet",山梨県,,35.6642,138.5684,,dish,水で溶いた小麦粉にちりめんじゃこや青じそを混ぜ、ホットプレートで両面を焼く山梨のおやつ。稲作に不向きな土地で発展した粉物文化の一つとされ、あんこや甘い煮豆を入れる甘口もあると伝わる。,Wheat flour thinned with water and mixed with dried baby sardines and shiso is griddled on both sides — a Yamanashi snack said to be one product of a flour-based food culture that grew where rice farming did not suit the land. Sweet versions with bean paste also exist.,うすやき 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/usuyaki_yama_nashi.html,農林水産省,2026-09-08
obaku,おばく,Obaku,"Obaku — hulled barley porridge with root vegetables, topped with miso and scallion",山梨県,,35.6642,138.5684,,dish,一晩浸した丸麦にじゃがいもや大根、里芋などを加え、たっぷりの水で柔らかく炊く山梨の主食。米が貴重だった山間部の日常食とされ、味付けはせず、ねぎ味噌や醤油の実をつけて食べると伝わる。,"Hulled barley soaked overnight is simmered soft in plenty of water with potato, daikon, and taro — a Yamanashi staple said to have been the everyday food of mountain areas where rice was precious. Left unseasoned itself, it is eaten with a scallion miso or a spoon of shoyu-no-mi.",おばく 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/obaku_yama_nashi.html,農林水産省,2026-09-08
jagaimo-hijiki-nimono,じゃがいもとひじきの煮物,Jagaimo to Hijiki no Nimono,Jagaimo to hijiki no nimono — potato and hijiki simmered for the mountain's opening day,山梨県,富士吉田市,35.487,138.8064,,dish,じゃがいもと戻したひじきを醤油とみりんで甘辛く煮る富士吉田市周辺の一品。富士山の山開き（7月1日）に登拝者を世話した御師がふるまい、山の幸と海の幸で開山を祝う意味が込められていたと伝わる。,"Potato and rehydrated hijiki seaweed are simmered sweet-savory in soy sauce and mirin — a dish from around Fujiyoshida city, said to have been served by oshi lodging-house keepers to pilgrims on Mount Fuji's July 1st opening day, pairing mountain and sea to mark the season's start.",じゃがいもとひじきの煮物 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jagaimo_to_hijiki_no_nimono_yama_nashi.html,農林水産省,2026-09-08
yamanashi-basashi,馬刺し,Basashi,Yamanashi basashi — raw horse meat sliced thin and dipped in soy sauce,山梨県,,35.6642,138.5684,,dish,薬味を添えた生の馬肉を醤油につけて食べる山梨の一品。かつて貢馬の国と呼ばれ富士登山の荷揚げにも馬が使われたことから、安価な馬肉料理が根づいたとされ、吉田のうどんに甘辛く煮てのせることもある。,"Raw horse meat, sliced thin, is dipped in soy sauce with grated ginger, garlic, and scallion — a Yamanashi dish said to have taken root because horses long served the province, from tribute animals to load-bearers for Mount Fuji pilgrims, making the meat cheap and familiar. It is also simmered sweet and piled onto Yoshida udon.",馬刺し 山梨県 | うちの郷土料理：農林水産省,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/basashi_yama_nashi.html,農林水産省,2026-09-08
