from_slug,to_slug,relation_type
seida-no-tamaji,jagaimo-hijiki-nimono,対比
yamanashi-mimi,hoto,兄弟
amanatto-sekihan,hokkaido-sekihan,対比
awabi-no-nigai,tori-motsuni,対比
tori-motsuni,awabi-no-nigai,対比
memaki,jagaimo-hijiki-nimono,兄弟
azuki-hoto,hoto,派生
ozara,hoto,兄弟
korogaki,kaki-namasu,使用食材
sanma-meshi,yakome,対比
yakome,yamanashi-mimi,対比
akebono-daizu-edamame,nama-yuba,対比
anbin,usuyaki,兄弟
imogara-makizushi,maki-zushi,対比
usuyaki,anbin,兄弟
oshaka-kogori,amanatto-sekihan,対比
obaku,yamanashi-shoyu-no-mi,対比
urajiro-manju,hoto,派生
yamanashi-katsudon,katsudon,対比
mogura-uri-hiyajiru,obaku,兄弟
jagaimo-hijiki-nimono,memaki,兄弟
tsukino-shizuku,anbin,対比
yamanashi-basashi,yoshida,使用食材
yugao-miso-shiru,mogura-uri-hiyajiru,兄弟
nama-yuba,akebono-daizu-edamame,対比
yamanashi-shoyu-no-mi,obaku,対比
inobuta-nabe,hoto,派生
