item_slug,tag_slug
tenshinhan,chinese_derived
tenshinhan,egg
hiyashi-chuka,chinese_derived
hiyashi-chuka,cold_served
hiyashi-chuka,egg
tanmen,chinese_derived
tanmen,pork
nira-reba-itame,chinese_derived
nira-reba-itame,pork
nira-reba-itame,offal
chahan,chinese_derived
chahan,egg
chahan,pork
subuta,chinese_derived
subuta,pork
ebi-chili,chinese_derived
ebi-chili,spicy
ebi-mayo,chinese_derived
mabo-dofu,chinese_derived
mabo-dofu,spicy
mabo-dofu,pork
mabo-nasu,chinese_derived
mabo-nasu,spicy
mabo-nasu,miso
hoikoro,chinese_derived
hoikoro,pork
hoikoro,miso
chinjaoroosu,chinese_derived
chinjaoroosu,beef
kani-tama,chinese_derived
kani-tama,egg
harumaki,chinese_derived
harumaki,pork
nikudango-amazu,chinese_derived
nikudango-amazu,pork
tantanmen,chinese_derived
tantanmen,spicy
tantanmen,pork
taiwan-mazesoba,chinese_derived
taiwan-mazesoba,spicy
taiwan-mazesoba,pork
chuka-soba-tokyo,chinese_derived
chuka-soba-tokyo,soy_sauce
chuka-soba-tokyo,pork
kanton-men,chinese_derived
kanton-men,pork
gomoku-ankake-yakisoba,chinese_derived
gomoku-ankake-yakisoba,pork
chashu,chinese_derived
chashu,pork
chashu,soy_sauce
happosai,chinese_derived
happosai,pork
