slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
juwari-soba,十割そば,Juwari Soba,"Juwari soba — soba noodles made from 100% buckwheat flour, with no wheat binder",,,,,,dish,そば粉と水だけで打ち、小麦粉などのつなぎを一切使わないそば。生粉打ちそばとも呼ばれる。生地がまとまりにくく切れやすいぶん打ち手の技術が問われるが、そば本来の香りと風味が薄まらずに出るとされる。,"Soba made from buckwheat flour and water alone, with no wheat flour or other binder added. Also called kikouchi-soba, the dough is fragile and prone to breaking, which demands real skill from the maker, but it is said to let buckwheat's own aroma and flavor come through undiluted.",十割 | そばの散歩道,https://nichimen.or.jp/know/number/05/,日本麺類業団体連合会,2026-09-12
nihachi-soba,二八そば,Nihachi Soba,Nihachi soba — soba noodles mixed at a roughly 8:2 ratio of buckwheat to wheat flour,,,,,,dish,そば粉八割・小麦粉二割の配合、あるいは「江戸流のそば」を指すとされる呼び名。享保年間にそば史に登場したとされるが、二八の由来には代価説と配合説があり、いまも結論は出ていないという。,"A name said to denote either a roughly 8:2 ratio of buckwheat to wheat flour, or simply ""Edo-style soba"" more broadly. It is said to have entered soba's written history in the Kyoho era, though accounts differ on whether the name comes from the blend ratio or from an old noodle price, and no settled answer exists.",二八そば | そばの散歩道,https://nichimen.or.jp/know/number/02/,日本麺類業団体連合会,2026-09-12
sotoni,外二,Sotoni,Sotoni — a way of counting the nihachi ratio by adding wheat flour on top of a full measure of buckwheat,,,,,,dish,二八そばの配合の数え方の一つ。そば粉十に対して小麦粉二を外側から足す考え方で、そば粉八・小麦粉二を最初から合わせる「内二」と区別される。同じ二八でも、打ち場での計算のしやすさが選び分けの理由とされる。,"One of two ways of counting the nihachi ratio: sotoni adds two parts wheat flour on top of a full ten parts buckwheat flour, as distinct from uchini, which starts from eight parts buckwheat and two parts wheat. Both are called nihachi, and which one a shop uses is said to come down to which arithmetic is easier at the workbench.",外一、外二、内二、二八そば(二八蕎麦)、蕎麦と小麦粉の割合を解説,https://nihon-soba.jp/hozonkai/2020/09/18/10199/,日本蕎麦保存会,2026-09-12
sarashina-soba,更科そば,Sarashina Soba,"Sarashina soba — pale, refined noodles milled from the buckwheat grain's innermost starch",,,,,,dish,そばの実の中心部だけを挽いた白い「更科粉（一番粉）」で打つそば。甘皮や殻を含まないため色が薄く、そばともそうめんとも違う独特の舌触りになるとされる。江戸中期の文献に初めて登場した高級な粉だという。,"Soba made from sarashina flour, milled only from the pale starch at the center of the buckwheat grain, with none of the darker husk or bran mixed in. The result is noodles pale enough to look almost white, with a texture said to sit somewhere between ordinary soba and somen. The flour is said to have first appeared in mid-Edo-era writing as a luxury product.",さらしなそば | そばの散歩道,https://nichimen.or.jp/know/zatsugaku/18/,日本麺類業団体連合会,2026-09-12
inaka-soba,田舎そば,Inaka Soba,"Inaka soba — thick, dark buckwheat noodles carrying a strong, rustic flavor",,,,,,dish,更科そばの対極に位置づけられる、太めで黒っぽくそばらしい味わいの濃いそば。「山家そば」とも呼ばれ、江戸風のそばに対する地方・農山村のそばという意味合いを持つとされる。幕末の江戸にも同名の店があったという。,"Placed at the opposite end of the spectrum from sarashina soba, inaka soba is thick, dark, and carries a strong buckwheat flavor. Also called yamaga-soba, the name is said to have marked it as rural or mountain-village soba, set against the more refined Edo style. A shop by the same name is said to have existed in Edo itself in the closing years of the shogunate.",田舎そば | そばの散歩道,https://nichimen.or.jp/know/zatsugaku/41/,日本麺類業団体連合会,2026-09-12
hikigurumi,挽きぐるみ,Hikigurumi,"Hikigurumi — soba flour milled from the whole grain, husk and all",,,,,,dish,そばの実を、一番粉・二番粉といった段階に取り分けずまるごと挽く製法、またはその粉で打ったそば。殻に近い部分まで挽き込むため色が濃く、香りが強く出るとされる。更科粉とは対極の考え方の粉になるという。,"Soba flour milled from the whole buckwheat grain — husk and all — without separating it into first-flour, second-flour, and so on by stage. Because it grinds in flour close to the husk, the color runs dark and the aroma comes through strong, sitting at the opposite end of the spectrum from sarashina flour.",一番粉 | そばの散歩道,https://nichimen.or.jp/know/number/04/,日本麺類業団体連合会,2026-09-12
yabu-kei,藪系,Yabu-kei,"The Yabu lineage — one of Edo's three great soba schools, known for a sharp, aromatic bite",,,,,,dish,江戸から続くそば屋の系統の一つ。幕末に東京・根津の団子坂にあった「蔦屋」が周りを竹やぶに囲まれていたことから「藪そば」と通称され、それが屋号として定着したとされる。二八の配合を基本とするという。,"One of the three great soba lineages of Edo. In the closing years of the shogunate, a shop called Tsutaya, near Nezu's Dango-zaka slope, was surrounded by a bamboo thicket — yabu — and came to be known by that nickname, which is said to have settled into its shop name. The lineage is said to work from a base nihachi ratio.",かんだやぶそば（スポット紹介）,https://visit-chiyoda.tokyo/app/spot/detail/382,千代田区観光協会公式サイト Visit Chiyoda,2026-09-12
sunaba-kei,砂場系,Sunaba-kei,The Sunaba lineage — an Edo soba school whose roots are said to trace back to Osaka,,,,,,dish,江戸から続くそば屋の系統の一つ。名の由来は天正11年（1583年）、大坂城築城の資材置き場「砂場」にあったそば屋にさかのぼるとされる。徳川の世になって江戸へ移り、細く長くつながる喉ごしを持ち味とする系統として広まったという。,"One of Edo's three great soba lineages. Its name is said to trace back to 1583, to a soba shop standing at a construction-supply yard called Sunaba during the building of Osaka Castle. The lineage is said to have moved to Edo once the Tokugawa took power, becoming known for a thin, long, smoothly sliding noodle.",砂場の歴史,https://www.toranomon-sunaba.com/history/,虎ノ門 大坂屋 砂場,2026-09-12
sarashina-kei,更科系,Sarashina-kei,"The Sarashina lineage — the Edo soba school built on pale, refined sarashina flour",,,,,,dish,江戸から続くそば屋の系統の一つ。寛政元年（1789年）、信州出身の初代が江戸麻布永坂町に「信州更科蕎麦所 布屋太兵衛」の看板を掲げたのが始まりとされる。白いさらしなそばと、彩り豊かな変わりそばを看板商品としてきたという。,"One of Edo's three great soba lineages. It is said to trace back to 1789, when a man from Shinshu hung a sign reading ""Shinshu Sarashina Soba Shop, Nunoya Tahei"" in Azabu Nagasaka-cho, Edo. The lineage is said to have built its name on pale sarashina soba alongside colorful kawari-soba.",更科堀井について,https://www.sarashina-horii.com/about/,総本家 更科堀井,2026-09-12
kawari-soba,変わりそば,Kawari Soba,Kawari-soba — soba dough flavored or colored with a second ingredient kneaded in,,,,,,dish,そば粉の生地に茶や卵、山菜など別の材料を練り込んで香りや色を添えたそば。色が鮮やかなものはとくに「色物」と呼んで区別するという。江戸時代の玉子蕎麦切りが最も古い例とされ、文化文政期に遊び心のあるそばとして広まった。,"Soba whose dough has a second ingredient — tea, egg, wild greens, and the like — kneaded in for color or aroma. Noodles with especially vivid color are singled out and called irimono. The oldest known example is said to be tamago-sobakiri, an egg noodle from the Edo period, and the practice is said to have flourished as a playful variation during the Bunka-Bunsei era.",変わりそば | そばの散歩道,https://nichimen.or.jp/know/zatsugaku/33/,日本麺類業団体連合会,2026-09-12
