slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
teuchi-udon,手打ちうどん,Teuchi Udon,"Teuchi udon — udon dough kneaded, trodden, and cut by hand",,,,,,dish,小麦粉に塩水を加えて練り、足で踏んで生地を鍛え、包丁で切るうどん。踏み・延ばし・折りたたみを繰り返すことでグルテンの網目構造が育ち、強いコシと弾力が生まれるとされる。生麺として供されるのが基本という。,"Udon whose dough is kneaded from wheat flour and salt water, trodden underfoot to build strength, then cut by hand with a knife. Repeating the cycle of treading, rolling, and folding is said to develop the gluten network that gives the noodle its firm bite and spring. It is served as a fresh, uncooked-and-boiled noodle at its base.",うどんの生地踏みが持つ重要な意味とは？強いコシを生み出す秘密,https://sakaedaudon.jp/archives/554,うどんスタンダード,2026-09-12
tenobe-udon,手延べうどん,Tenobe Udon,"Tenobe udon — a hand-stretched dried noodle, twisted and pulled thin instead of cut",,,,,,dish,生地に食用油やでん粉を塗って撚りをかけながら引き延ばし、乾燥させて作る乾麺のうどん。包丁で切る手打ちと違い、麺線の断面が丸くなめらかな喉ごしになるとされる。製法の途中に熟成の工程を挟むことが日本農林規格で定められているという。,"A dried noodle made by coating the dough in edible oil or starch and stretching it thin while twisting it, then drying it, rather than cutting it with a knife as teuchi does. The twisting is said to leave the noodle's cross-section rounded, giving it a notably smooth slide down the throat. Japan's agricultural standard is said to require a resting, maturing stage partway through the process.",手延べ干しめんの日本農林規格,https://www.kanmen.com/standard/02_hmjas.pdf,全国乾麺協同組合連合会,2026-09-12
kake-udon,かけうどん,Kake Udon,"Kake udon — the most basic bowl, hot broth poured over reheated noodles",,,,,,dish,茹でた麺を一度冷水で締め、温め直してだしをかける、もっとも基本的なうどん。いりこや鰹の効いただしは店ごとに違うとされ、ねぎや天かすといった軽い薬味だけをのせるのが定番という。,"The most basic udon of all: noodles boiled, chilled once in cold water, then reheated and covered in broth. The dashi flavor is said to vary shop by shop, built on dried sardine or bonito, and the standard toppings are light ones — scallion, crunchy tempura scraps, little more.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
zaru-udon,ざるうどん,Zaru Udon,"Zaru udon — noodles chilled in water and served on a bamboo strainer, dipped in sauce",,,,,,dish,茹でた麺を冷水で締め、ざるなどの器に盛って濃いめのつけだしにつけて食べるうどん。薬味には生姜やねぎ、ごまを添えることが多いとされる。かけうどんに対する冷たいうどんの基本形の一つという。,"Udon boiled and chilled in cold water, served on a bamboo strainer or similar vessel, and dipped into a concentrated sauce. Ginger, scallion, and sesame are said to be the common condiments. It stands as one of the basic cold-udon forms, set against hot kake udon.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
bukkake-udon,ぶっかけうどん,Bukkake Udon,"Bukkake udon — chilled noodles doused in a concentrated sauce, tossed with the toppings",,,,,,dish,茹でた麺を冷水で締め、濃いめのつけだしを直接ぶっかけて食べるうどん。ねぎや大根おろしをのせ、具材ごと大胆にかき混ぜて食べるのが定番とされる。温かいだしを使う温ぶっかけの形もあるという。,"Udon boiled and chilled in cold water, then doused directly with a concentrated sauce. Scallion and grated daikon go on top, and mixing everything together boldly is said to be the standard way of eating it. A hot version, using warm broth instead, is also said to exist.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
kamaage-udon,釜揚げうどん,Kamaage Udon,Kamaage udon — noodles moved from the pot to the bowl without ever being rinsed,,,,,,dish,釜で茹で上がった麺を、水で締めずにゆで汁ごと器へ移して食べるうどん。冷水で締めないぶんふんわりとした食感になるとされ、つけだしに少しずつつけながら食べるのが定番という。,"Udon moved straight from the pot to the bowl, boiling water and all, without ever being rinsed in cold water. Skipping that chill is said to leave the noodle soft and fluffy, and dipping it a little at a time into a separate sauce is said to be the standard way of eating it.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
kamatama-udon,釜玉うどん,Kamatama Udon,"Kamatama udon — hot noodles straight from the pot, tossed with a raw egg and soy sauce",,,,,,dish,釜で茹で上がった麺を水で締めずに器へ移し、生卵と醤油を絡めて食べるうどん。混ぜると熱々の麺に卵がとろりとからみ、香りとコクが立つとされる。釜揚げに卵と醤油を加えた食べ方として広まったという。,"Noodles moved straight from the pot to the bowl, unrinsed, and tossed with a raw egg and soy sauce. Mixing it together is said to coat the piping-hot noodles in a silky egg, bringing out both aroma and richness. It is said to have spread as kamaage udon with egg and soy sauce added.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
niku-udon,肉うどん,Niku Udon,Niku udon — kake udon topped with sweet-and-savory simmered beef,,,,,,dish,かけうどんに甘辛く味付けした牛肉をのせたうどん。だしの効いたつゆに、しっかり煮込んだ牛肉の旨みが溶け出すとされる。地域によっては牛すじや牛ほほ肉を使うなど、使う部位や味付けに違いがあるという。,Kake udon topped with beef simmered in a sweet-savory seasoning. The beef's own savoriness is said to melt into the dashi-based broth. Which cut is used and how it is seasoned is said to vary by region — some areas favor beef tendon or cheek meat instead of thin-sliced beef.,おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
curry-udon,カレーうどん,Curry Udon,Curry udon — dashi and curry combined into a broth poured over hot noodles,,,,,,dish,だしとカレーを合わせたつゆを熱々の麺にかけたうどん。西洋から伝わったカレー粉を、和風のだしと組み合わせて仕立てるとされる。とろみのあるつゆが麺によくからみ、汁が飛びやすいことから食べ方にもひと工夫いるという。,"Udon covered in a broth that combines dashi with curry. It is said to bring Western curry powder together with Japanese-style dashi. The thickened broth is said to cling well to the noodle, though it is prone to splashing, calling for a bit of care in how it is eaten.",おさえておきたい主なメニュー｜讃岐うどん,https://www.my-kagawa.jp/udon/feature/sanukiudon/mainmenu,香川県観光協会公式サイト うどん県旅ネット,2026-09-12
nabeyaki-udon,鍋焼きうどん,Nabeyaki Udon,Nabeyaki udon — udon simmered and served bubbling in its own small earthen pot,,,,,,dish,一人前用の小さな土鍋でうどんを煮込み、そのまま食卓に出すうどん。元治2年（1865年）初演の芝居の台詞に記録が残るとされ、大坂の屋台から明治6、7年ごろ東京へ伝わったという。冬場に人気のうどんとされる。,"Udon simmered in a small, individual earthen pot and brought to the table still cooking. It is said to be recorded in the dialogue of a play first performed in 1865, spreading from Osaka's street stalls to Tokyo around 1873 or 1874. It is said to be especially popular in winter.",鍋焼きうどん | そばの散歩道,https://nichimen.or.jp/know/zatsugaku/10/,日本麺類業団体連合会,2026-09-12
