item_slug,tag_slug
junmai,fermented
junmai-ginjo,fermented
junmai-daiginjo,fermented
honjozo,fermented
ginjo,fermented
daiginjo,fermented
kimoto,fermented
yamahai,fermented
sokujo,fermented
nigorizake,fermented
namazake,fermented
namazake,cold_served
genshu,fermented
hiyaoroshi,fermented
nihonshu-koshu,fermented
kijoshu,fermented
kijoshu,ceremonial
happo-seishu,fermented
happo-seishu,cold_served
taruzake,fermented
taruzake,ceremonial
doburoku,fermented
doburoku,ceremonial
nihonshu,fermented
nada-no-sake,fermented
fushimi-no-sake,fermented
niigata-no-sake,fermented
hiroshima-no-sake,fermented
akita-no-sake,fermented
yamagata-no-sake,fermented
iwate-no-sake,fermented
tanba-no-sake,fermented
ishikawa-no-sake,fermented
