item_slug,tag_slug
imo-jochu,fermented
mugi-jochu,fermented
kome-jochu,fermented
kokuto-jochu,fermented
soba-jochu,fermented
awamori,fermented
awamori,ryukyu
awamori-kusu,fermented
awamori-kusu,ryukyu
korui-shochu,fermented
otsurui-shochu,fermented
koji-no-chigai,fermented
jouatsu-genatsu-jouryu,fermented
maewari,fermented
kame-tsubo-jikomi,fermented
kashi-daru-jukusei,fermented
kasutori-shochu,fermented
satsuma-shochu,fermented
kuma-shochu,fermented
iki-shochu,fermented
ryukyu-awamori,fermented
ryukyu-awamori,ryukyu
oita-mugi-jochu,fermented
miyazaki-imo-jochu,fermented
amami-kokuto-shochu,fermented
izu-shoto-shochu,fermented
tanegashima-imo-jochu,fermented
hanazake,fermented
hanazake,ryukyu
chouki-chozo-shochu,fermented
