slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
imo-jochu,芋焼酎,Imo-jochu,Imo-jochu — shochu distilled from sweet potato,,,,,芋,ingredient,さつまいもと米麹(または麦麹)を原料に単式蒸留機で仕上げる焼酎。ふかし芋のような甘い香りと厚みのある甘みが特徴とされ、黄金千貫という品種が主原料として広く使われているという。,"Shochu distilled from sweet potato and rice (or barley) koji in a single-distillation still. It's said to carry a sweet, steamed-potato aroma and a thick sweetness, with the Koganesengan variety widely used as the main raw material.",芋焼酎に使われる「芋」ってどんな芋？主な種類・特徴をご紹介,https://guide.honkakushochu-awamori.jp/types-of-potatoes-used-for-imo-shochu/,日本酒造組合中央会,2026-09-13
mugi-jochu,麦焼酎,Mugi-jochu,Mugi-jochu — shochu distilled from barley,,,,,麦,ingredient,大麦を主原料に、米麹または麦麹で仕込む焼酎。香ばしい穀物の香りとクセの少ない軽やかな口当たりが持ち味とされ、長崎県壱岐が発祥の地、大分県が麦100%スタイルを広めた土地として知られるという。,"Shochu made mainly from barley, mashed with rice or barley koji. It's said to carry a toasty grain aroma and a light, clean mouthfeel, with Iki in Nagasaki known as the birthplace and Oita as the region that popularized the all-barley style.",壱岐焼酎とは,https://ikishochu.org/iki-distilled-spirits/,壱岐酒造協同組合,2026-09-13
kome-jochu,米焼酎,Kome-jochu,Kome-jochu — shochu distilled from rice,,,,,米,ingredient,米だけを原料に米麹で仕込む焼酎。日本酒と同じ米という原料を使いながら蒸留することで、米由来のほのかな甘みを残しつつ雑味の少ない軽い酒質になるとされ、熊本県の球磨地方が中心産地として知られるという。,"Shochu made from rice alone, mashed with rice koji. Using the same raw material as sake but distilling it is said to leave a faint rice sweetness while giving a lighter body with fewer rough notes, and the Kuma district of Kumamoto is known as its core producing region.",球磨焼酎とは,https://kumashochu.or.jp/wp/kumashochu/,球磨焼酎酒造組合,2026-09-13
kokuto-jochu,黒糖焼酎,Kokuto-jochu,Kokuto-jochu — shochu distilled from black sugar,,,,,黒糖・泡盛,ingredient,サトウキビから作る黒糖と米麹を原料にする焼酎。黒糖由来のコクのある甘い香りを持ちながら、米麹で発酵させて蒸留するため甘ったるくは残らないとされ、酒税法上の特例で奄美群島だけで製造が認められているという。,"Shochu made from black sugar pressed from sugarcane, together with rice koji. It's said to carry a rich, sweet aroma from the black sugar, yet doesn't come across as cloying since it's fermented with koji and then distilled — and a special provision of the liquor tax law permits it to be made only in the Amami Islands.",奄美黒糖焼酎について,https://lento.co.jp/about/kokutoshochu/,奄美大島開運酒造,2026-09-13
soba-jochu,そば焼酎,Soba-jochu,Soba-jochu — shochu distilled from buckwheat,宮崎県,西臼杵郡五ヶ瀬町,32.6997,131.3163,その他,ingredient,そばの実を主原料にする焼酎。そば湯を思わせる香ばしい香りとやさしい甘みを持つとされ、1973年に宮崎県五ヶ瀬町の蔵元が麦焼酎の製法をもとに開発した、比較的新しい型の焼酎だという。,"Shochu made mainly from buckwheat groats. It's said to carry a toasty aroma reminiscent of soba-yu, the water soba noodles are boiled in, along with a gentle sweetness, and is a relatively young style developed in 1973 by a brewery in Gokase, Miyazaki, building on barley-shochu methods.",そば雲海ブランドサイト,https://www.unkai.jp/brand/soba/,雲海酒造,2026-09-13
awamori,泡盛,Awamori,Awamori — Okinawa's rice spirit brewed with black koji,沖縄県,,26.2124,127.6809,黒糖・泡盛,ingredient,タイ米と黒麹だけを使い、米のすべてを麹にする全麹仕込みで造る沖縄の蒸留酒。黒麹由来のクエン酸のおかげで高温多湿の気候でももろみが腐敗しにくいとされ、単式蒸留機で仕上げる焼酎の仲間だという。,"A distilled spirit from Okinawa made only from Thai rice and black koji, with every grain of rice turned into koji in a method called zen-koji-jikomi. Citric acid from the black koji is said to keep the mash from spoiling even in hot, humid conditions, and it's classified alongside shochu as a single-distillation spirit.",泡盛は本格焼酎とどう違う？原料や沖縄の歴史とのつながりを知ろう,https://guide.honkakushochu-awamori.jp/difference-awamori-and-shochu/,日本酒造組合中央会,2026-09-13
awamori-kusu,古酒(クース),Kusu,Kusu — long-aged awamori,,,,,黒糖・泡盛,ingredient,3年以上貯蔵した泡盛を指す呼び方。かめや甕で長く寝かせるうちにアルコールの角が取れて丸くなり、バニラのような芳香が育つとされ、「仕次ぎ」という注ぎ足しの技法で百年単位の古酒を保つ蔵もあるという。,"The name given to awamori aged three years or longer. Resting for years in earthenware jars is said to round off the alcohol's sharp edge and build a vanilla-like fragrance, and some breweries are said to keep century-old kusu alive through a topping-up technique called shitsugi.",泡盛とは,https://okinawa-awamori.or.jp/awamori/knowledge/what/,沖縄県酒造組合,2026-09-13
korui-shochu,甲類焼酎(連続式蒸留焼酎),Korui Shochu,Korui shochu — continuous-distillation shochu,,,,,その他,ingredient,連続式蒸留機で繰り返し蒸留し、アルコール分36度未満に仕上げる焼酎。無色透明でクセがほとんど無いとされ、レモンサワーなど割り材と合わせるチューハイのベースとして広く使われているという。,"Shochu distilled repeatedly through a continuous still and finished below 36 percent alcohol. It's said to come out nearly colorless and free of strong character, and is widely used as the base spirit for chu-hai cocktails mixed with citrus and other flavorings.",焼酎に関するもの,https://www.nta.go.jp/about/organization/tokyo/sake/abc/abc-shochu.htm,東京国税局,2026-09-13
otsurui-shochu,乙類焼酎(本格焼酎),Otsurui Shochu,"Otsurui shochu — honkaku, single-distillation shochu",,,,,その他,ingredient,単式蒸留機で一度だけ蒸留する焼酎の総称。芋や麦、米など原料由来の香味がそのまま残るとされ、一定の条件を満たすものは1962年から「本格焼酎」という呼称も使えるようになったという。,"The umbrella term for shochu run through a single-distillation still just once. The raw material's own aroma and flavor are said to carry straight through, and shochu meeting certain conditions has also been allowed to use the name 'honkaku shochu' since 1962.",「本格焼酎」は、ただの分類ではない。焼酎に人生をかけた男の誇りだ。,https://www.kirishima.co.jp/chronicle/episode/history/000695.html,霧島酒造,2026-09-13
koji-no-chigai,麹の違い(黒麹・白麹・黄麹),"Kuro-koji, Shiro-koji, Ki-koji","Black, white, and yellow koji — the three shochu molds",,,,,その他,ingredient,焼酎・泡盛造りに使われる黒麹・白麹・黄麹という3種の麹菌。クエン酸を多く生むかどうかで酒質が大きく変わるとされ、どの麹を選ぶかが焼酎の輪郭を決める最初の分かれ道になるという。,"The three koji molds used in shochu and awamori production — black, white, and yellow. Whether a mold produces abundant citric acid or not is said to shape the resulting spirit dramatically, making the choice of koji the first fork in the road that defines a shochu's outline.",芋焼酎づくりに使われる「黒麹」「白麹」「黄麹」について,https://akarui-nouson.jp/koji_used_in_shochu/,明るい農村（大和桜酒造）,2026-09-13
