slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
akami-zuke,赤身のヅケ,Akami no Zuke,soy-marinated lean tuna — the cure that came before the fatty cuts were prized,,,,,,ingredient,マグロの赤身を醤油だれに浸けて締めたもの。冷蔵の手立てがなかった時代に身を持たせる工夫として生まれ、大トロが好まれる今もヅケ専用の仕込みとして受け継がれているという。江戸前寿司の原点にあたる仕事の一つとされる。,"Lean tuna cured in a soy-based marinade. Born as a way to keep the fish from spoiling before refrigeration existed, it's said to survive today as its own deliberate preparation even now that fattier cuts get the attention — one of the founding techniques of Edomae sushi itself.",鮪,https://ja.wikipedia.org/wiki/鮪,ウィキペディア日本語版,2026-09-07
chutoro,中トロ,Chutoro,"medium-fatty tuna, between lean akami and the richest otoro",,,,,,ingredient,マグロの腹身のうち、大トロほど脂が強くない部位。脂と赤身の味がほぼ半々で拮抗するため、脂の重さと赤身の香りを同時に味わえる部位とされる。大トロと赤身の両方の良さを求める客に選ばれてきたという。,"A cut from a tuna's belly, less richly fatty than otoro. Fat and lean flavor sit close to even here, said to be the part where the weight of the fat and the character of lean tuna can both be tasted at once — chosen by those wanting the best of both cuts.",中とろ,https://kotobank.jp/word/%E4%B8%AD%E3%81%A8%E3%82%8D-567750,コトバンク,2026-09-07
otoro,大トロ,Otoro,"the fattiest cut of tuna belly, once dismissed and now the most prized",,,,,,ingredient,マグロの腹身のうち、もっとも脂肪が多い部位。かつては足が早く傷みやすいため「猫またぎ」とまで呼ばれたが、冷凍技術の進歩と食生活の変化で今日もっとも珍重される部位になったとされる。切り付けにも独特の配慮がいるという。,"The fattiest cut from a tuna's belly. Once dismissed as spoiling too fast even for a cat to bother with, it's said to have become, with better freezing and changing tastes, the most prized cut of all today — one that calls for its own particular way of being sliced.",大とろ,https://kotobank.jp/word/%E5%A4%A7%E3%81%A8%E3%82%8D-450447,コトバンク,2026-09-07
negitoro,ネギトロ（軍艦）,Negitoro,"minced fatty tuna scraps mounded on a rice cup, wrapped in nori",,,,,,ingredient,トロの部位を骨についた身ごと叩き刻んだもの。軍艦巻きの定番ネタの一つとされ、切り身では出せない脂と粘りの一体感を楽しむネタだという。骨を無駄にしない工夫から生まれたと伝わる。,"Fatty tuna scraps, including meat scraped from the bone, minced fine. It's counted among the standard toppings for gunkan-maki, offering a fat-and-stickiness unity a sliced cut can't give — said to have started as a way not to waste meat left on the bone.",軍艦巻,https://ja.wikipedia.org/wiki/軍艦巻き,ウィキペディア日本語版,2026-09-07
shime-saba,シメサバ,Shime-saba,"mackerel cured first in salt, then in vinegar",,,,,,ingredient,三枚におろした鯖を塩でしめ、酢に浸けて仕立てたもの。生食に不向きとされる鯖を安全に、かつ身を締めて食べさせるための仕事とされる。江戸前の光り物を代表する一品として扱われてきたという。,"Mackerel filleted into three pieces, salted, then cured in vinegar. It's the preparation said to make a fish considered unsafe raw both safe to eat and firmer on the tongue — treated as the signature piece among Edomae's oily 'hikarimono' fish.",きずし,https://ja.wikipedia.org/wiki/しめさば,ウィキペディア日本語版,2026-09-07
kisu-kawashimo,キス（皮霜仕立て）,Kisu (Kawashimo-jitate),sillago given a quick pass of heat on the skin before it's sliced,,,,,,ingredient,皮目に軽く熱を通し、冷水で締めてから開いたキス。淡白な白身に、皮のわずかな旨みと歯ざわりを添えるための仕事とされる。将軍にも献上された江戸の白身の代表格で、小骨の多さも扱いの難しさに数えられるという。,"Sillago given a quick pass of heat on its skin, then cooled in ice water before being butterflied. It's a way of adding the skin's faint richness and bite to an otherwise very plain white fish — a fish once served daily even to the shogun, and known for its many small bones.",刺身,https://ja.wikipedia.org/wiki/刺身,ウィキペディア日本語版,2026-09-07
sayori,サヨリ,Sayori,"halfbeak — a slender, silver-bodied fish with a jet-black belly lining",,,,,,ingredient,背は青緑、腹は銀色に輝く細身の魚。腹の中の膜が真っ黒なのが特徴で、下処理でこれを丁寧にこすり落とすかどうかが仕事の分かれ目になるという。旬は春とされ、江戸前の季節を告げるネタの一つとして扱われてきたと伝わる。,"A slender fish, its back blue-green and its belly a bright silver. Its distinguishing trait is a jet-black lining inside the belly, and whether that's carefully scraped away during prep is said to be where the work shows — a fish said to announce spring at an Edomae counter.",サヨリ,https://ja.wikipedia.org/wiki/サヨリ,ウィキペディア日本語版,2026-09-07
kuruma-ebi-nigiri,車海老（茹で）,Kuruma-ebi (Yude),"tiger prawn, boiled straight on a skewer and shelled for nigiri",,,,,,ingredient,活きた車海老を串に沿わせてまっすぐ茹で、殻をむいて握りに仕立てたもの。曲がった尾まで美しい姿を保つための下処理が仕事の中心になるという。活け車海老のまま流通する数少ない海老の一つとされる。,"A live tiger prawn boiled straight along a skewer, then shelled and shaped for nigiri. Much of the work is said to go into the prep that keeps its body straight and its tail intact right through boiling — one of the few shrimp still commonly sold alive.",クルマエビ,https://ja.wikipedia.org/wiki/クルマエビ,ウィキペディア日本語版,2026-09-07
ama-ebi-nigiri,甘海老,Ama-ebi,"northern shrimp, its raw sweetness building after it's caught",,,,,,ingredient,ホッコクアカエビの通称。生きているうちは甘みを感じにくく、水揚げ後にアミノ酸が増えて甘くなるとされる。頭は捨てずに素揚げにされることも多く、身とは別の濃い旨みを持つという。,"The common name for the northern shrimp. It's said to carry little sweetness while alive, only developing it after landing as amino acids build up — and the head, often fried whole rather than discarded, carries a rich flavor of its own.",ホッコクアカエビ,https://ja.wikipedia.org/wiki/アマエビ,ウィキペディア日本語版,2026-09-07
botan-ebi-nigiri,ボタン海老,Botan-ebi,"spot prawn, a rarer and richer relative served raw",,,,,,ingredient,甘海老よりも大ぶりで漁獲量が少なく、とろけるような甘みを持つ海老。高価で料亭や高級寿司店以外ではあまり見かけられないとされる。近縁の複数種がまとめてこの名で流通しているという。,"Larger than the northern shrimp and far less commonly caught, with a melting sweetness of its own. Said to be expensive enough that it rarely turns up outside high-end restaurants and sushi counters, with several related species sold under the same name.",ボタンエビ,https://ja.wikipedia.org/wiki/ボタンエビ,ウィキペディア日本語版,2026-09-07
uni-gunkan,ウニ軍艦,Uni Gunkan,sea urchin roe mounded in a nori-wrapped rice cup,,,,,,ingredient,ウニの生殖巣を酢飯の上にのせ、海苔で囲んで固定したもの。形を保てない素材を軍艦巻きという器に盛る、寿司ならではの解決策とされる。ミョウバン処理の有無が味と品質を左右するという。,"Sea urchin gonads mounded on vinegared rice, held in place by a band of nori. A sushi-specific solution for serving something that can't otherwise keep its own shape — whether it's alum-treated is said to shape both its taste and quality.",ウニ,https://ja.wikipedia.org/wiki/ウニ,ウィキペディア日本語版,2026-09-07
ikura-gunkan,イクラ軍艦,Ikura Gunkan,"salmon roe, separated grain by grain, mounded in nori-wrapped rice",,,,,,ingredient,サケの卵をひと粒ずつばらしたもの。筋子との違いは薄皮を残しているかどうかとされ、軍艦巻きの形で酢飯の上に盛られる。噛むとプチプチと弾ける食感が最大の持ち味だとされ、色つやも鮮度の目安になるという。,"Salmon roe separated into individual grains. What sets it apart from unseparated sujiko is said to be whether the thin membrane around each egg is left on, and it's served mounded in gunkan-maki, its popping texture the main draw and its color a guide to freshness.",イクラ,https://ja.wikipedia.org/wiki/イクラ,ウィキペディア日本語版,2026-09-07
ika-kanokozukuri,イカの鹿の子造り,Ika no Kanoko-zukuri,squid scored in a fine cross-hatch to make its thick skin easy to bite through,,,,,,ingredient,スミイカやアオリイカなどの身に格子状の切れ目を入れる仕事。皮に近い部分に旨みがあるが厚くて噛み切りにくい身を、食べやすくしつつ甘みを引き出すための技とされる。見た目にも美しい飾り包丁の一つという。,"A technique of scoring squid flesh in a fine cross-hatch. It's meant to make a thick-skinned cut — flavorful near the skin but hard to bite through — easier to eat while drawing out its sweetness, one of sushi's more visually striking knife techniques.",刺身,https://ja.wikipedia.org/wiki/刺身,ウィキペディア日本語版,2026-09-07
tako-sakurani,タコの桜煮,Tako no Sakura-ni,octopus simmered in a sweet soy broth until it takes on a pale pink blush,,,,,,ingredient,茹でダコをさらに甘辛いたれで煮て、淡い桜色に仕立てたもの。日本ではタコの刺身は生食よりも茹でて用いるのが一般的とされ、そこからさらに手を加えた仕事の一つとされる。吸盤の並びが断面にそのまま残るのも特徴で、コリコリとした歯ごたえも持ち味という。,"Boiled octopus simmered further in a sweet-savory soy broth until it takes on a pale pink blush. In Japan, octopus for sashimi is generally boiled rather than served raw, and this is one further step of work built on top of that, its suckers still visible across every cut.",マダコ,https://ja.wikipedia.org/wiki/マダコ,ウィキペディア日本語版,2026-09-07
ni-hamaguri,煮蛤,Ni-hamaguri,clam simmered in a sweet soy broth and glazed with its own reduced liquid,,,,,,ingredient,ハマグリを甘辛い煮汁で煮て、煮詰めたツメを塗って仕立てたもの。生のまま握るのではなく、火を通して味を含ませる江戸前の煮物仕事の一つとされる。俳句では春の季語とされるほど季節感の強い貝で、婚礼や祝いの席にも用いられるという。,"Clam simmered in a sweet soy broth, then brushed with a glaze reduced from its own cooking liquid. Rather than being served raw, it's cooked and worked into flavor — part of Edomae's tradition of simmered toppings, and a clam tied closely enough to spring to stand as a season word in haiku.",ハマグリ,https://ja.wikipedia.org/wiki/ハマグリ,ウィキペディア日本語版,2026-09-07
hotate-nigiri,ホタテ,Hotate,"scallop adductor muscle, sliced thin and served raw for nigiri",,,,,,ingredient,ホタテガイの貝柱をそぎ切りにして握りにしたもの。肉厚で淡白ながらほぐれやすく、グリコーゲンに由来する甘みが特徴とされる。生食用と加熱用が区別して流通する地域もあるという。,"The scallop's adductor muscle, sliced thin and shaped into nigiri. Thick yet mild and easy to pull apart, its sweetness is said to come from stored glycogen — and some regions keep raw-grade scallops separate in distribution from those meant to be cooked.",ホタテガイ,https://ja.wikipedia.org/wiki/ホタテガイ,ウィキペディア日本語版,2026-09-07
akagai-nigiri,赤貝,Akagai,"ark shell, its flesh reddened by blood carrying iron rather than copper",,,,,,ingredient,血液に鉄を含む色素を持つため身が赤いことからその名がついた貝。コリコリとした食感で高級寿司ネタとされ、市販品にはサルボウガイが代用されることも多いという。鮮度が仕事の質を大きく左右する貝とされる。,"A clam named for its red flesh, colored by blood that carries an iron-based pigment rather than the copper most mollusks use. Prized for its crisp bite, it's a premium topping often substituted commercially with the smaller ark shell relative sarubō-gai, and freshness shapes the work more than almost anything else.",アカガイ,https://ja.wikipedia.org/wiki/アカガイ,ウィキペディア日本語版,2026-09-07
