item_slug,tag_slug
nozawana-zuke,fermented
shiba-zuke,fermented
suguki-zuke,fermented
suguki-zuke,souvenir_non_confection
sunki-zuke,fermented
iburigakko,fermented
iburigakko,smoked
iburigakko,souvenir_non_confection
bettara-zuke,fermented
takana-zuke,fermented
takana-zuke,spicy
hida-akakabu-zuke,fermented
matsumae-zuke,kelp
matsumae-zuke,ceremonial
matsumae-zuke,souvenir_non_confection
wasabi-zuke,souvenir_non_confection
yamagata-dashi,souvenir_non_confection
sangohachi-zuke,fermented
rakkyou-zuke,fermented
rakkyou-zuke,souvenir_non_confection
kasuzuke,fermented
nara-zuke,fermented
moriguchi-zuke,fermented
harihari-zuke,kelp
takuan,fermented
nukazuke,fermented
