slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
nozawana-zuke,野沢菜漬け,Nozawana-zuke,Nozawana-zuke — pickled leaf mustard from a Nagano hot-spring village,長野県,下高井郡野沢温泉村,36.9236,138.4383,,ingredient,信州の冬を越すために大量に仕込む青菜の漬物。野沢温泉村に伝わった天王寺かぶが高冷地の気候で葉と茎だけを大きく育てる変わり種になり、霜に当たるほど甘く柔らかくなるという。,"A leaf-mustard pickle put up in bulk to see Nagano through winter. A turnip once brought from Kyoto is said to have changed in the cold highlands of Nozawa Onsen, growing only leaf and stem — sweeter and softer the more frost it takes.",野沢菜漬（長野県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nozawana_zuke_nagano.html,農林水産省「うちの郷土料理」,2026-09-08
shiba-zuke,しば漬け,Shiba-zuke,Shiba-zuke — purple shiso-pickled eggplant and cucumber from Kyoto's Ohara valley,京都府,京都市左京区大原,35.1201,135.8267,,ingredient,なすときゅうりを赤しそとともに塩漬けにする、京都を代表する漬物の一つとされる。大原の赤しそがしみ出す紫色と酸味が特徴で、建礼門院に献上された逸話から「紫葉漬け」の名が転じたと伝わる。,"Eggplant and cucumber salted together with red shiso, one of Kyoto's ""three great pickles."" The shiso bleeds a deep purple and sourness into the vegetables — a color and taste said to trace to a dish once offered to the retired Empress Kenreimon-in at Ohara.",しば漬け（京都府）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shibazuke_kyoto.html,農林水産省「うちの郷土料理」,2026-09-08
suguki-zuke,すぐき漬け,Suguki-zuke,Suguki-zuke — a salt-only fermented turnip from Kyoto's Kamigamo shrine district,京都府,京都市北区上賀茂,35.0508,135.7622,,ingredient,かぶらの一種すぐきを塩だけで漬け、独特の酸味を発酵させる京都を代表する漬物の一つとされる。上賀茂神社の社家が栽培を始めたと伝わり、江戸時代には他村への持ち出しも禁じられた、かつては御所へ献上される品だったという。,"A turnip called suguki, salted alone and left to sour through fermentation — one of Kyoto's ""three great pickles."" Cultivation is said to trace to shrine families at Kamigamo Shrine, who once presented it to the imperial court.",すぐき漬け（京都府）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sugukizuke_kyoto.html,農林水産省「うちの郷土料理」,2026-09-08
senmai-zuke,千枚漬け,Senmai-zuke,"Senmai-zuke — thin-sliced turnip pickled in kelp and vinegar, a Kyoto winter classic",京都府,亀岡市篠町,35.014,135.5748,,ingredient,聖護院かぶを薄切りにし、昆布と酢で漬ける京都を代表する漬物の一つとされる。長期保存を目的とせず繊細に仕上げるのが特徴で、江戸時代に御所の料理人が考案し漬物商として広めたと伝わる。,"Thin-sliced turnip pickled with kelp and vinegar, one of Kyoto's ""three great pickles."" Unlike most tsukemono it isn't made for long storage but for a delicate, fresh finish — devised, tradition says, by a cook at the imperial court.",千枚漬け（京都府）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/semmaizuke_kyoto.html,農林水産省「うちの郷土料理」,2026-09-08
sunki-zuke,すんき漬け,Sunki-zuke,"Sunki-zuke — a salt-free, lactic-fermented turnip green from the Kiso valley",長野県,木曽地域（木曽町ほか）,35.8497,137.6841,,ingredient,赤かぶの葉を塩を一切使わずに乳酸発酵させる、木曽地域だけの無塩漬物。海から遠い山深い谷では塩が貴重品だったため、それを節約する生活の知恵として生まれた発酵食品だと伝わる。,"Red-turnip greens fermented by lactic bacteria alone, with no salt at all — a pickle unique to the mountain-locked Kiso valley, where, tradition says, salt was too precious to spare for it.",すんき漬け（長野県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sunki_zuke_nagano.html,農林水産省「うちの郷土料理」,2026-09-08
iburigakko,いぶりがっこ,Iburigakko,"Iburigakko — smoke-dried daikon pickled in rice bran, from Akita's snow country",秋田県,横手市ほか県内陸南部,39.3092,140.5666,,ingredient,大根を囲炉裏の煙で燻してから米ぬかで漬け込む、秋田の燻製たくあん漬け。天日干しが凍ってしまう雪深い内陸南部で、火の熱と煙を使う保存の知恵として生まれたと伝わる漬物である。,"Daikon smoked over an irori hearth, then pickled in rice bran — Akita's smoked take on takuan. In the snowbound inland south, where plain sun-drying would freeze solid, the fire's heat and smoke are said to have stepped in instead.",いぶりがっこ（秋田県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/29_1_akita.html,農林水産省「うちの郷土料理」,2026-09-08
bettara-zuke,べったら漬け,Bettara-zuke,"Bettara-zuke — daikon pickled sweet in rice malt, a Nihonbashi autumn tradition",東京都,中央区日本橋,35.687,139.7745,,ingredient,塩で下漬けした大根を米麹と砂糖で漬け込む、江戸のえびす講で売られた浅漬けが起源とされる漬物。麹の自然な甘さが身上で、日本橋の「べったら市」で今も親しまれている。,"Daikon salted first, then pickled sweet in rice malt and sugar — said to descend from a lightly pickled daikon once sold at Edo's ebisu-kō market. The rice malt gives it a natural sweetness, and it still headlines Nihonbashi's autumn ""Bettara Market.""",べったら漬け（東京都）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_8_tokyo.html,農林水産省「うちの郷土料理」,2026-09-08
takana-zuke,高菜漬け,Takana-zuke,"Takana-zuke — mustard greens pickled with chili, a Kyushu everyday staple",,,,,,ingredient,からし菜の仲間である高菜を塩と唐辛子で漬け込む、九州各地の漬物。浅漬けの新漬けと半年かけて乳酸発酵させる古漬けがあり、刻んでご飯や炒め物にもよく使われるという。,"Mustard greens salted with chili — a pickle found across Kyushu. There is a lightly salted fresh version and an aged one fermented for half a year, and both get chopped into rice, stir-fries, and more.",阿蘇高菜漬け（熊本県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/aso_takana_zuke_kumamoto.html,農林水産省「うちの郷土料理」,2026-09-08
hiroshimana-zuke,広島菜漬け,Hiroshimana-zuke,"Hiroshimana-zuke — a mild, faintly peppery leaf pickle grown only around Hiroshima",広島県,広島市安佐南区,34.4795,132.4194,,ingredient,白菜の仲間である広島菜を浅漬けにした、広島市周辺だけで栽培される菜漬け。繊維が少なく歯切れがよいのが特徴で、太田川中州の肥沃な土地で古くから育てられてきたという。,"A mild leaf pickle made from hiroshimana, a napa-cabbage relative grown only around Hiroshima. Low in fiber and crisp to bite into, it has long been cultivated on the fertile sandbar land of the Ota River delta.",広島菜漬けのおにぎり（広島県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/42_23_hiroshima.html,農林水産省「うちの郷土料理」,2026-09-08
hida-akakabu-zuke,飛騨赤かぶ漬け,Hida Akakabu-zuke,Hida akakabu-zuke — a red turnip pickle that turns a mountain valley's winter table crimson,岐阜県,高山市・飛騨市,36.1461,137.2521,,ingredient,飛騨紅かぶを丸ごと塩漬けにする、雪に閉ざされる飛騨地域の保存漬物。皮の色素が発酵とともに身を紅色に染め、山間部で貴重だった塩を節約するための江戸時代以来の製法と伝わる。,"Whole turnips salted down in barrels — a preserve from the snowbound Hida region. The skin's pigment bleeds crimson into the flesh as fermentation proceeds, in a method said to date to the Edo period, when it helped stretch precious salt.",赤かぶ漬け（岐阜県）：うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/38_20_gifu.html,農林水産省「うちの郷土料理」,2026-09-08
