item_slug,tag_slug
daifuku,handheld
dango,skewered
dango,handheld
dango,ceremonial
manju,ceremonial
mitarashi-dango,skewered
mitarashi-dango,handheld
mitarashi-dango,street_food
kusa-mochi,ceremonial
botamochi,ceremonial
kuzukiri,cold_served
dorayaki,handheld
dorayaki,street_food
imagawayaki,handheld
imagawayaki,street_food
taiyaki,handheld
taiyaki,street_food
onsen-manju,ceremonial
joyo-manju,ceremonial
kasutera,handheld
yatsuhashi,handheld
nama-yatsuhashi,handheld
kibidango,handheld
mizu-yokan,cold_served
monaka,handheld
kintsuba,handheld
rakugan,ceremonial
konpeito,ceremonial
karinto,handheld
karinto,street_food
senbei,handheld
okaki,handheld
arare,handheld
arare,ceremonial
zenzai,meal_ender
oshiruko,meal_ender
anmitsu,cold_served
nerikiri,ceremonial
suhama,ceremonial
sanshoku-dango,skewered
sanshoku-dango,ceremonial
kaminari-okoshi,handheld
kaminari-okoshi,street_food
kaminari-okoshi,ceremonial
iwa-okoshi,handheld
iwa-okoshi,ceremonial
nanbu-senbei,handheld
