slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
daifuku,大福,Daifuku,Daifuku — a soft mochi pouch wrapped around sweet bean paste,,,,,餅・団子,dish,搗いた餅で餡を包んだ、もっとも基本的な形の一つ。江戸時代には塩気のある厚い餅菓子「腹太餅」が食べられており、これが小ぶりに改良されて「大福餅」と呼ばれるようになったと伝わる。,"One of the most basic shapes in wagashi: pounded mochi wrapped around sweet bean paste. A thick, saltier mochi called ""harabuto-mochi"" is said to have been eaten in the Edo period, later shrinking into the handheld ""daifuku-mochi"" known today.",和菓子の由来,https://www.wagashi.or.jp/monogatari/shiru/yurai/,全国和菓子協会,2026-09-12
dango,団子,Dango,"Dango — small balls of rice flour, steamed or grilled on a skewer",,,,,餅・団子,dish,米粉を練って丸め、蒸すか茹でるかして作る素朴な菓子。団子の原型は縄文時代までさかのぼるとされ、木の実の粉を水で練って丸めたものが始まりという説がある。行事や祭礼の供え物として各地に根づいてきたと伝わる。,"A humble sweet of rice flour kneaded, shaped into balls, and steamed or boiled. Its prototype is said to date back to the Jomon period, when ground nuts and acorns were kneaded with water and rolled into balls — a form said to have taken root everywhere as an offering at festivals and rites.",和菓子の由来,https://www.wagashi.or.jp/monogatari/shiru/yurai/,全国和菓子協会,2026-09-12
manju,饅頭,Manju,"Manju — a bun of dough wrapped around sweet filling, steamed or baked",,,,,饅頭・焼き菓子,dish,小麦粉などの皮で餡を包み、蒸すか焼くかして作る菓子。中国から伝わった点心が起源とされ、肉食を避ける禅僧の食事にあわせて餡を詰める形に変わったと伝わる。蒸し饅頭と焼き饅頭に分かれ、無数の型を生んできたという。,"A wrapper of wheat or other flour folded around sweet filling, then steamed or baked. It is said to trace back to a Chinese dumpling, reworked with bean paste in place of meat to suit the diet of Buddhist monks, and to have branched since into countless steamed and baked forms.",和菓子の種類,https://www.wagashi.or.jp/monogatari/shiru/syurui/,全国和菓子協会,2026-09-12
yokan,羊羹,Yokan,"Yokan — a firm, sliceable block of sweet bean paste set with agar",,,,,羊羹・寒天,dish,餡を寒天で固め、切り分けて食べる菓子。中国から茶とともに伝わった羊肉入りの汁物「羹」が起源とされ、肉食を避ける精進料理として餡を用いる形に変わり、寒天の発見によって練り羊羹として完成したと伝わる。,"Sweet bean paste set with agar into a firm block, sliced to eat. It is said to descend from a Chinese mutton soup called ""kan"" that arrived with tea, reworked into a meatless dish with bean paste for Buddhist cuisine, and completed as the sliceable ""neri-yokan"" once agar was discovered.",和菓子の由来,https://www.wagashi.or.jp/monogatari/shiru/yurai/,全国和菓子協会,2026-09-12
mitarashi-dango,みたらし団子,Mitarashi Dango,Mitarashi dango — grilled rice dumplings glazed with a sweet soy sauce,京都府,京都市左京区,35.0402,135.7729,餅・団子,dish,焼き目をつけた団子に、醤油と砂糖の甘辛いたれをからめた串団子。下鴨神社の御手洗池に湧く水泡を模して作られたのが始まりと伝わり、境内の祭礼で厄除けとして食べられていたという。,"Skewered dango with a light char, glazed in a sweet-savory soy sauce. Said to have begun as a shape modeled on the bubbles rising in Shimogamo Shrine's Mitarashi Pond, and once eaten at the shrine's rites for protection from misfortune.",みたらし祭（足つけ神事）のご案内,https://www.shimogamo-jinja.or.jp/saiji/mitarashi,下鴨神社（賀茂御祖神社）,2026-09-12
kusa-mochi,草餅,Kusamochi,"Kusamochi — mochi kneaded with mugwort, often filled with sweet bean paste",,,,,餅・団子,dish,よもぎを練り込んだ餅であんを包んだ、春先の菓子。もとは母子草を使ったとされ、のちに香りの強いよもぎに替わっていったという説がある。ひな祭りに供える地域が多いとされる。,"Mochi kneaded with mugwort and often filled with sweet bean paste, a sweet of early spring. It is said to have first been made with cudweed before shifting to the more fragrant mugwort, and is offered at the Doll's Festival in many regions.",草餅 栃木県｜うちの郷土料理,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_24_tochigi.html,農林水産省,2026-09-12
botamochi,おはぎ・ぼたもち,Ohagi / Botamochi,Ohagi / botamochi — lightly pounded rice coated in sweet bean paste,,,,,餅・団子,dish,軽く搗いた米粒にあんをまとわせた菓子。彼岸に供える習わしがあり、粒あんの小豆が点々と散る様子を萩の花に見立てて「おはぎ」、春は牡丹に見立てて「ぼたもち」と呼び分けたとされる。,"Lightly pounded rice coated in sweet bean paste, offered at the equinox. The speckled look of chunky bean paste is said to have been likened to bush clover blossoms in autumn — hence ""ohagi"" — and to peonies in spring, giving ""botamochi.""",和菓子の由来,https://www.wagashi.or.jp/monogatari/shiru/yurai/,全国和菓子協会,2026-09-12
warabi-mochi,わらび餅,Warabimochi,Warabimochi — a jelly-like sweet made from bracken starch,,,,,餅・団子,dish,わらびの根から採れるでんぷんを水と砂糖で練り上げ、冷やし固めた菓子。わらび粉は採取と精製に手間がかかるため古くから高価な食材とされ、きな粉や黒蜜をかけて食べるという。,"Starch extracted from bracken root, simmered with water and sugar and chilled until set. Bracken starch has long been a costly ingredient due to the labor of gathering and refining it, and the sweet is typically topped with roasted soybean flour or dark syrup.",わらびもち｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/warabimoti.html,農林水産省,2026-09-12
kuzukiri,葛切り,Kuzukiri,Kuzukiri — noodle-like strips of kudzu starch jelly,,,,,羊羹・寒天,dish,葛粉を水に溶いて型に流し、加熱して固めたのち麺状に細く切った菓子。黒蜜をかけて食べることが多く、葛餅と同じ葛粉から作られながら、食感と食べ方が対照的な型とされる。,"Kudzu starch dissolved in water, poured into a mold, heated until set, then cut into thin noodle-like strips. Usually eaten with dark syrup, it shares its raw material with kuzumochi but is worked into a contrasting texture and way of eating.",くず餅、わらび餅、くずきりの違いとは？,https://mi-journey.jp/foodie/89466/,三越伊勢丹の食メディア FOODIE,2026-09-12
kuzumochi,葛餅,Kuzumochi,"Kuzumochi — a heavy, translucent jelly-mochi made from kudzu starch",,,,,羊羹・寒天,dish,葛粉を水と砂糖で溶かし、透明になるまで練り上げた餅状の菓子。厳冬期の地下水にさらして精製する「吉野晒し」という製法が知られ、きな粉や黒蜜をかけて食べることが多いとされる。,"Kudzu starch dissolved in water and sugar, worked until translucent and set into a soft, jelly-like mochi. Known for a refining method called ""Yoshino-zarashi,"" using icy winter groundwater, it is typically topped with roasted soybean flour or dark syrup.",くず餅、わらび餅、くずきりの違いとは？,https://mi-journey.jp/foodie/89466/,三越伊勢丹の食メディア FOODIE,2026-09-12
