item_slug,tag_slug
omurice,egg
omurice,yoshoku
hayashi-rice,beef
hayashi-rice,yoshoku
doria,yoshoku
turkey-rice,pork
turkey-rice,yoshoku
katsu-curry,pork
katsu-curry,yoshoku
omu-soba,egg
omu-soba,yoshoku
crab-cream-korokke,yoshoku
ebi-fry,yoshoku
mille-feuille-katsu,pork
mille-feuille-katsu,yoshoku
hamburg,beef
hamburg,yoshoku
beef-stew,beef
beef-stew,yoshoku
pork-chop,pork
pork-chop,yoshoku
piccata,yoshoku
roll-cabbage,pork
roll-cabbage,yoshoku
gratin,yoshoku
japanese-pizza,yoshoku
teriyaki-chicken-pizza,chicken
teriyaki-chicken-pizza,yoshoku
mentai-mayo-pizza,spicy
mentai-mayo-pizza,yoshoku
corn-mayo-pizza,yoshoku
ebi-mayo-pizza,yoshoku
pizza-toast,yoshoku
tarako-spaghetti,yoshoku
mentaiko-pasta,spicy
mentaiko-pasta,yoshoku
wafu-mushroom-pasta,soy_sauce
wafu-mushroom-pasta,yoshoku
natto-pasta,fermented
natto-pasta,yoshoku
chicken-rice,chicken
chicken-rice,yoshoku
