item_slug,tag_slug
oyakodon,chicken
oyakodon,egg
katsudon,pork
katsudon,egg
fukui-katsudon,pork
aizu-katsudon,pork
komagane-katsudon,pork
gyudon,beef
obihiro-butadon,pork
fukagawa-don,miso
konoha-don,egg
chuka-don,pork
chuka-don,chinese_derived
tamago-don,egg
tanindon,beef
tanindon,pork
tanindon,egg
sanshoku-don,chicken
sanshoku-don,egg
tonkatsu,pork
tonkatsu,yoshoku
kushikatsu,beef
kushikatsu,street_food
korokke,yoshoku
chikin-nanban,chicken
chikin-nanban,egg
tori-ten,chicken
zangi,chicken
tatsuta-age,chicken
hatoshi,chinese_derived
shiso-maki,miso
aji-fry,yoshoku
kaki-fry,yoshoku
