item_slug,pref,city,lat,lng,relation_type,note_ja,note_en,source_url,source_title,source_publisher,source_accessed_at
yakitori,北海道,室蘭市,42.3152,140.974,本場,昭和初期、軍靴などの材料として養豚が奨励された時代に、豚のモツを串焼きにして提供したのが室蘭やきとりの始まりと伝わる。今も鶏でなく豚肩ロースと玉ねぎの串を洋がらしで食べる文化が続くとされる。,"In the early Showa era, when pig farming was promoted to supply materials such as military boots, offal from those pigs is said to have been skewered and grilled — the start of Muroran's yakitori. Pork shoulder and onion eaten with hot mustard, rather than chicken, is said to remain the local form.",https://muroran-yakitori.net/,室蘭やきとりの会 公式サイト,室蘭やきとりの会,2026-09-07
yakitori,福岡県,久留米市,33.3193,130.5083,本場,久留米では鶏に限らず豚・牛・馬まで串にし、内臓には「ダルム」のような独特の呼び名も残る。城下町として栄えた土地の食肉文化が、鶏だけに縛られない串焼きの幅広さにつながったとされる。,"In Kurume, not just chicken but pork, beef, and even horse go on the skewer, with some offal cuts carrying distinct local names such as ""darumu."" The city's history as a castle town with a broad meat culture is said to underlie a style of yakitori not limited to chicken.",https://kurume-kouiki.jp/gourmet/g_article/910/,久留米やきとり,久留米広域連携中枢都市圏,2026-09-07
yakitori,埼玉県,東松山市,36.0421,139.3999,本場,昭和30年代、当時は食肉としての価値が低かった豚のカシラ肉を近隣の食肉センターから安く仕入れられたことから、屋台での串焼きが始まったと伝わる。安定供給のため全国で初めて「焼鳥組合」が結成されたとされ、白みそベースの辛味噌だれとともに独自の文化が守られてきた。,"In the 1950s, pork cheek meat — then low-value as meat — is said to have become cheaply available from a nearby meat-processing center, leading street vendors to start skewering and grilling it. What is said to be Japan's first ""yakitori union"" formed to keep supply and prices stable, preserving a culture built around a white-miso-based spicy sauce.",https://higashimatsuyama-kanko.com/food/yakitori/,名物！やきとり,一般社団法人東松山市観光協会,2026-09-07
gyoza,栃木県,宇都宮市,36.5551,139.8828,本場,戦後、中国大陸からの引き揚げ者が持ち帰った餃子作りの技術が街に根付いたと伝わり、「宇都宮餃子会」加盟店だけでも多様な味を競っている。にんにくとにらを効かせた餡と、薄めの皮が特徴とされる。,"Gyoza-making techniques are said to have taken root in the city with returnees from mainland China after the war, and shops belonging to the Utsunomiya Gyoza Association today compete with a wide range of styles, typically a thin wrapper around a garlic- and chive-forward filling.",https://www.gyozakai.com/,宇都宮餃子会公式サイト,宇都宮餃子会,2026-09-07
gyoza,静岡県,浜松市,34.7108,137.7261,本場,浜松餃子は円形に焼き並べ、中心にゆでもやしを添えるのが特徴とされる。野菜の比率を高めたあっさりとした餡で、浜松商工会議所など地域の複数団体が連携して名物として発信している。,"Hamamatsu gyoza are arranged into a circle on the griddle with a mound of boiled bean sprouts in the center — a vegetable-heavy, light-tasting filling promoted as a local specialty through a partnership of the city's chamber of commerce and tourism bodies.",https://www.hamamatsu-gyoza.jp/,浜松餃子公式サイト,浜松商工会議所ほか浜松地域連携団体,2026-09-07
oden,兵庫県,姫路市,34.8155,134.6855,本場,「姫路おでん」は生姜醤油をつけて、またはかけて食べるのが特徴で、昭和初期に浜手地域で甘辛い関東炊きの味を生姜醤油で調整したのが始まりではないかと伝わる。2006年に地域の団体が正式に「姫路おでん」と名付けたという。,"Himeji oden is eaten dipped in, or drizzled with, ginger soy sauce, a style said to trace back to the early Showa era when vendors in the city's waterfront district adjusted the flavor of a sweet-savory Kanto-style broth with ginger soy. A local revitalization group formally named it ""Himeji Oden"" in 2006.",https://www.himeji-kanko.jp/gourmet/5/,姫路おでん,公益社団法人姫路観光コンベンションビューロー,2026-09-07
oden,静岡県,静岡市,34.9756,138.3827,本場,静岡おでんは黒いだしと黒はんぺんが目印で、串に刺して青のりとだし粉をかけて食べる。かつては居酒屋よりも子どもの集まる駄菓子屋で売られることが多かったとされ、この庶民的な売り場が具や食べ方の気軽さにつながったという。,"Shizuoka oden is marked by a dark broth and dark fish cake (kuro-hanpen), skewered and finished with aonori seaweed and dashi powder. It is said to have been sold more often at candy shops where children gathered than at izakaya, and that everyday setting is said to have shaped the dish's casual style.",https://www.visit-shizuoka.com/feature/detail_33.html,静岡おでんとは,公益財団法人するが企画観光局,2026-09-07
unagi-kabayaki,静岡県,浜松市,34.7108,137.7261,本場,汽水湖の浜名湖でシラスウナギが豊富に獲れたことから養鰻業が発達し、蒲焼の名産地として知られる。市の観光ポータルでも「浜名湖育ちのうなぎは格別」と紹介され、夏のスタミナ食として市を挙げて発信されている。,"Abundant glass eels once caught in the brackish Lake Hamana gave rise to a major eel-farming industry, making the city known as a kabayaki stronghold. The city's own tourism portal calls Lake-Hamana-raised eel ""exceptional,"" promoted citywide as a summer stamina food.",https://unaginobori-hamamatsu.jp/,うなぎのぼり浜松,浜松市,2026-09-07
unagi-kabayaki,千葉県,成田市,35.7767,140.3184,本場,印旛沼という漁場に恵まれ、江戸時代から成田山新勝寺への参詣客をうなぎ料理でもてなしてきたと伝わる。表参道には代々タレを継ぎ足す老舗の料理店が軒を連ね、これほどの密度でうなぎ屋が集積する例は全国でも珍しいという。,"Blessed with the fishing grounds of Lake Inba, the city is said to have served eel to pilgrims visiting Naritasan Shinshoji temple since the Edo period. Long-established restaurants passing down their sauce for generations line the approach road — a concentration of eel shops said to be rare anywhere else in Japan.",https://www.nrtk.jp/theme/category/unagi.html,うなぎ特集,成田市観光協会,2026-09-07
unagi-kabayaki,愛知県,名古屋市,35.1815,136.9066,本場,蒲焼を刻んでご飯に混ぜ、そのまま・薬味を添えて・だし茶漬けにしてと三通りで食べる「ひつまぶし」が名物とされる。名古屋観光コンベンションビューローの公式サイトでも、なごやめしを代表する一品としてひつまぶしが位置づけられている。,"Hitsumabushi — chopped kabayaki mixed into rice and eaten three ways: plain, with condiments, and as a dashi-doused rice bowl — is the city's signature preparation, listed by the official Nagoya Convention & Visitors Bureau site as one of the defining dishes of ""Nagoya meshi.""",https://www.nagoya-info.jp/,名古屋観光情報サイト,公益財団法人名古屋観光コンベンションビューロー,2026-09-07
