item_slug,tag_slug
kaburazushi,fermented
kaburazushi,ceremonial
kaburazushi,cold_served
daikonzushi,fermented
daikonzushi,ceremonial
daikonzushi,cold_served
iwakuni-zushi,ceremonial
iwakuni-zushi,cold_served
okayama-barazushi,ceremonial
mamakari-zushi,cold_served
funa-zushi,fermented
funa-zushi,cold_served
sanma-zushi,ceremonial
sanma-zushi,cold_served
kakinoha-zushi,ceremonial
kakinoha-zushi,cold_served
kokera-zushi,ceremonial
kokera-zushi,cold_served
tekone-zushi,cold_served
hatahata-zushi,fermented
hatahata-zushi,ceremonial
hatahata-zushi,cold_served
akazushi,fermented
akazushi,ceremonial
nishin-zushi,fermented
nishin-zushi,cold_served
sakezushi,fermented
sakezushi,ceremonial
suko-zushi,ceremonial
omura-zushi,ceremonial
omura-zushi,cold_served
boze-zushi,ceremonial
boze-zushi,cold_served
inaka-zushi,ceremonial
matsuyama-zushi,ceremonial
nigiri-zushi,handheld
maki-zushi,handheld
temaki-zushi,handheld
inari-zushi,soy_sauce
inari-zushi,handheld
inari-zushi,street_food
chirashi-zushi,ceremonial
oshi-zushi,cold_served
narezushi,fermented
narezushi,cold_served
bo-zushi,cold_served
gunkan-maki,handheld
salmon-nigiri,handheld
aburi-zushi,handheld
ebiten-nigiri,handheld
mayo-zushi,handheld
california-roll,handheld
niku-zushi,beef
niku-zushi,handheld
