slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
kiryu-himokawa,桐生ひもかわうどん,Kiryu Himokawa Udon,Kiryu Himokawa Udon — ribbon-wide wheat noodles from a weaving town,群馬県,桐生市,36.4058,139.3316,,dish,桐生の「ひもかわ」は幅十センチを超えることもある帯状のうどんで、すするというより舌で受け止めるような食感になるという。醤油だしのつゆにくぐらせて食べる、群馬の粉食文化が生んだ一杯とされる。,"Kiryu's himokawa udon can run wider than ten centimeters in a single ribbon, less slurped than caught on the tongue. Dipped in a soy-based broth, it's said to be one product of Gunma's long-standing flour-food culture.",群馬のうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/32_11_gunma.html,農林水産省,2026-09-07
tatebayashi-udon,館林うどん,Tatebayashi Udon,Tatebayashi Udon — kamatama noodles from a hundred-year wheat town,群馬県,館林市,36.2434,139.5388,,dish,館林は「百年小麦」と呼ばれる地元産小麦にこだわるうどんの町で、釜から上げた麺に卵を絡める釜玉うどんが名物とされる。小麦どころとして粉食が根づいた群馬の一角にある一杯という。,"Tatebayashi is an udon town built around a local heritage wheat called Hyakunen Komugi, best known for kamatama udon — noodles tossed with egg straight from the pot. It's one corner of Gunma's wheat-growing, flour-eating identity.",群馬のうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/32_11_gunma.html,農林水産省,2026-09-07
oshibori-udon,おしぼりうどん,Oshibori Udon,Oshibori Udon — noodles dipped in grated spicy-daikon juice,長野県,埴科郡坂城町,36.4453,138.1786,,dish,長野県坂城町に伝わる、辛味の強いねずみ大根をおろして絞った汁に信州味噌を溶き、うどんをつけて食べる料理という。汗をかくほどの辛さを、まろやかな味噌で受け止めるのが持ち味とされる。,"From Sakaki, Nagano: udon dipped in the wrung juice of a fiercely hot grated daikon, mixed with Shinshu miso. The sweat-inducing heat is said to be met and rounded off by the miso's mellowness.",おしぼりうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/oshibori_udon_nagano.html,農林水産省,2026-09-07
nibouto,煮ぼうとう,Nibouto,Nibouto — wide flat noodles simmered straight into soy broth,埼玉県,深谷市,36.1985,139.2828,,dish,埼玉県深谷市に伝わる、幅広く平たい生麺を茹でずにそのまま汁に入れて煮込むうどんという。溶け出した打ち粉が汁にとろみをつけ、山梨のほうとうとは違う醤油仕立てに仕上がるとされる。,"From Fukaya, Saitama: a wide, flat raw noodle simmered straight into the pot without pre-boiling. The flour that washes off thickens the broth, and unlike Yamanashi's hoto, the seasoning here runs soy-based.",煮ぼうとう／ひもかわ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/33_7_saitama.html,農林水産省,2026-09-07
tsuyama-horumon-udon,津山ホルモンうどん,Tsuyama Horumon Udon,Tsuyama Horumon Udon — pan-fried udon tossed with offal,岡山県,津山市,35.0667,134.0,,dish,岡山県津山市で、牛馬市が開かれてきた土地の食肉処理の技術を背景に育った、ホルモンとうどんを鉄板で炒め合わせる一杯という。店ごとに違うたれで味を競い合ってきたとされる。,"From Tsuyama, Okayama, a griddle-fried udon tossed with offal, said to have grown out of a livestock-trading town's skill at handling meat. Shops are said to compete on their own house tare.",ホルモンうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/41_19_okayama.html,農林水産省,2026-09-07
nigomi-udon,にごみうどん,Nigomi Udon,Nigomi Udon — mountain-village udon simmered straight in the pot,神奈川県,相模原市緑区津久井,35.5947,139.2144,,dish,神奈川県相模原市津久井地域に伝わる、大根や小松菜などの野菜と一緒に生のうどんを汁で直接煮込む料理という。稲作に向かない土地で小麦が主食になった歴史を背景に持つとされる。,"From the Tsukui area of Sagamihara, Kanagawa: raw udon simmered directly in broth with vegetables like daikon and komatsuna. It's said to carry the history of land unsuited to rice, where wheat became the staple instead.",にごみうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/35_11_kanagawa.html,農林水産省,2026-09-07
noshikomi-udon,のしこみうどん,Noshikomi Udon,Noshikomi Udon — mountain-work udon rolled and dropped straight into the pot,東京都,西多摩郡奥多摩町,35.8093,139.0989,,dish,東京都奥多摩町に伝わる、煮干しとしいたけのだしに酒・塩・醤油で味をつけた汁にうどんを入れて煮込む料理という。山仕事から戻った男性に手早く出す食事として根づいたとされる。,"From Okutama, Tokyo: udon simmered in a dashi of dried sardines and shiitake, seasoned with sake, salt, and soy sauce. It's said to have taken root as a meal households could serve quickly to men back from work in the mountains.",のしこみうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/34_16_tokyo.html,農林水産省,2026-09-07
kitsune-udon,きつねうどん,Kitsune Udon,Kitsune Udon — udon topped with sweet-simmered fried tofu,大阪府,大阪市,34.6858,135.5023,,dish,大阪の船場で生まれたとされる、甘辛く煮た油揚げをうどんにのせる一杯という。真昆布と雑節のだしに、太すぎずもっちりとした麺を合わせる大阪うどんの型として親しまれている。,"Said to have begun in Osaka's Semba district, this pairs udon with fried tofu simmered sweet and salty. It's cherished as the archetype of Osaka udon: kelp-and-dried-fish dashi over a noodle that's not too thick and pleasantly chewy.",きつねうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/39_17_osaka.html,農林水産省,2026-09-07
sippoku-udon,しっぽくうどん,Shippoku Udon,Shippoku Udon — Sanuki udon under a bowlful of simmered winter vegetables,香川県,,34.3401,134.0434,,dish,香川県で秋から冬にかけて食べられる、数種の野菜と油揚げを煮干しだしで煮込み、うどんにかけて食べる料理という。讃岐うどんのコシに、冬野菜の甘みを重ねた一杯とされる。,"Eaten across Kagawa from autumn into winter, this ladles dried-sardine-simmered winter vegetables and fried tofu over udon. It's said to layer the sweetness of winter vegetables onto Sanuki udon's firm bite.",しっぽくうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sippoku_udon_kagawa.html,農林水産省,2026-09-07
chitake-udon,ちたけうどん,Chitake Udon,Chitake Udon — udon in a broth of milk-cap mushrooms and eggplant,栃木県,,36.5551,139.8828,,dish,栃木県で盆の頃に食べられる、ちたけ（乳茸）となすを炒めただし汁にうどんを入れる料理という。盆行事で打たれるうどんと、夏にだけ採れるきのこが重なって生まれた一杯とされる。,"Eaten around Obon in Tochigi, this pours a dashi of stir-fried chitake mushroom and eggplant over udon. It's said to have arisen where udon kneaded for Obon met a mushroom that appears only in summer.",ちたけうどん（そば）,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/31_9_tochigi.html,農林水産省,2026-09-07
