item_slug,tag_slug
hiruzen-yakisoba,miso
hiruzen-yakisoba,chicken
itoigawa-black-yakisoba,chinese_derived
kobe-sobameshi,pork
sauce-yakisoba,pork
sauce-yakisoba,chinese_derived
shio-yakisoba,pork
shoyu-yakisoba,soy_sauce
shoyu-yakisoba,chinese_derived
shoyu-yakisoba,pork
miso-yakisoba,miso
miso-yakisoba,pork
ueda-ankake-yakisoba,pork
ueda-ankake-yakisoba,egg
ueda-ankake-yakisoba,chinese_derived
soup-yakisoba,pork
soup-yakisoba,soy_sauce
nakaminato-yakisoba,pork
horusoba,offal
horusoba,miso
horusoba,beef
