slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
hiruzen-yakisoba,蒜山焼そば,Hiruzen Yakisoba,Hiruzen Yakisoba — Okayama highland yakisoba fried in a house miso sauce,岡山県,真庭市蒜山,35.3239,133.7871,,dish,味噌だれで炒める岡山県蒜山高原の焼そば。ソースではなく甘辛い自家製の味噌だれを使い、かしわ（親鶏）とキャベツをからめる。一軒の食堂の味付けが地域に広まったと伝わる。,"A yakisoba from the Hiruzen highlands of Okayama fried not in Worcestershire-style sauce but in a sweet-savory house miso sauce, tossed with chicken and cabbage. Said to have spread out from a single diner's recipe.",ひるぜん焼そば,https://www.maniwa.or.jp/web/?c=spot-2&pk=3169,真庭市観光局,2026-09-08
itoigawa-black-yakisoba,糸魚川ブラック焼きそば,Itoigawa Black Yakisoba,Itoigawa Black Yakisoba — squid-ink-darkened yakisoba from Niigata's coast,新潟県,糸魚川市,37.0355,137.8619,,dish,新潟県糸魚川市で、地元の飲食店有志の会が名物にしようと創作した焼きそば。イカ墨を中華麺にからめ、地元産のイカを具にする。麺そのものが黒く染まっているのが見た目の特徴とされる。,"A yakisoba created in Itoigawa, Niigata, by a local restaurateurs' group aiming to give the city a signature dish. Squid ink is worked into the Chinese-style noodles and local squid goes in as the topping, leaving the noodles themselves dyed black.",糸魚川ブラック焼きそば,http://itoigawa-umaimonkai.com/,糸魚川うまいもん会,2026-09-08
ina-romen,伊那ローメン,Ina Romen,Ina Romen — Nagano's steamed-noodle stir-fry of mutton and cabbage,長野県,伊那市,35.8322,137.9547,,dish,長野県伊那市の郷土料理。蒸した中華麺をマトンやキャベツ、にんにくと炒め合わせる。焼きそば風の一皿として考案され、その後の呼び名がラーメンブームの影響で今の名に落ち着いたと伝わる。,"A local dish from Ina, Nagano: steamed Chinese-style noodles stir-fried with mutton, cabbage, and garlic. It's said to have started as a yakisoba-style dish, with its current name settling in later under the influence of Japan's ramen boom.",ローメンについて,https://ina-romen.com/aboutus/,伊那ローメンズクラブ,2026-09-08
kobe-sobameshi,そばめし,Sobameshi,Sobameshi — Kobe's chopped yakisoba and rice fry-up,兵庫県,神戸市長田区,34.6494,135.1414,,dish,神戸市長田区のお好み焼き店で生まれたとされる一皿。ソース焼きそばとご飯を細かく刻みながら一緒に炒め合わせる。工場で働く客が持ち込んだ冷や飯を焼きそばと温めてほしいと頼んだのが始まりと伝わる。,"A dish said to have begun at an okonomiyaki shop in Kobe's Nagata ward: sauce yakisoba and rice, both chopped fine, fried together on the griddle. It's said to trace to a factory worker who asked the shop to warm the cold rice he'd brought along with his order of yakisoba.",食の街・長田のご当地グルメ「そばめし」と「すじ焼き」を堪能,https://www.feel-kobe.jp/column/nagata-gourmet/,Feel KOBE 神戸公式観光サイト（神戸観光局）,2026-09-08
sauce-yakisoba,ソース焼きそば,Sauce Yakisoba,Sauce Yakisoba — the Worcestershire-style fried noodles found nationwide,,,,,,dish,中華麺をウスターソース系のたれで炒めた、日本で最も広く食べられている焼きそばの型。大正時代の東京で、お好み焼き文化のひとつとして定着していったと考えられている。各地のご当地焼きそばの多くがこの型を土台にする。,"The most widely eaten form of yakisoba in Japan: Chinese-style noodles fried in a Worcestershire-style sauce. It's thought to have taken root in Taisho-era Tokyo as one strand of okonomiyaki culture, and most regional yakisoba variants build on this base.",ソース焼そばの源流,https://www.otafuku.co.jp/yakisoba/column/column_data.html,オタフクソース株式会社,2026-09-08
shio-yakisoba,塩焼きそば,Shio Yakisoba,Shio Yakisoba — yakisoba seasoned with salt instead of sauce,,,,,,dish,ソースを使わず、塩だれや塩のみで味付けする焼きそばの型。ソース焼きそばに対するバリエーションとして各地の店で提供され、レモンや酢でさっぱりと、あるいはバターでこってりと仕立てる店もあるという。,"A style of yakisoba seasoned with salt or a salt-based sauce rather than the usual Worcestershire-style sauce. Offered at shops around the country as an alternative to sauce yakisoba, sometimes finished tart with lemon or vinegar, or made richer with butter.",焼そば、その味わいはさまざま,https://www.otafuku.co.jp/yakisoba/column/column_data_3.html,オタフクソース株式会社,2026-09-08
shoyu-yakisoba,醤油焼きそば,Shoyu Yakisoba,"Shoyu Yakisoba — yakisoba seasoned with soy sauce, common at Chinese diners",,,,,,dish,醤油や醤油だれ、中国醤油で味付けする焼きそばの型。中華料理店の品書きに多く見られ、オイスターソースを加えて上海風に仕立てる店もある。ソース焼きそばとは香りも色合いも違う系統として並び立つ。,"A style of yakisoba seasoned with soy sauce, a soy-based sauce, or Chinese soy sauce, commonly found on Chinese-restaurant menus. Some shops add oyster sauce for a Shanghai-style finish — a distinct strand from sauce yakisoba in both aroma and color.",焼そば、その味わいはさまざま,https://www.otafuku.co.jp/yakisoba/column/column_data_3.html,オタフクソース株式会社,2026-09-08
miso-yakisoba,味噌焼きそば,Miso Yakisoba,Miso Yakisoba — garlic-forward yakisoba often served at yakiniku restaurants,,,,,,dish,味噌ベースのたれで味付けする焼きそばの型。にんにくを効かせたものが多く、焼肉店で提供されることが多いという。ソースとは違う発酵の深いこくが特徴で、各地のご当地焼きそばにもこの型を土台にするものがある。,"A style of yakisoba seasoned with a miso-based sauce, often heavy on garlic and commonly served at yakiniku restaurants. Its fermented depth sets it apart from sauce, and several regional yakisoba dishes build on this same base.",焼そば、その味わいはさまざま,https://www.otafuku.co.jp/yakisoba/column/column_data_3.html,オタフクソース株式会社,2026-09-08
ueda-ankake-yakisoba,上田あんかけ焼きそば,Ueda Ankake Yakisoba,Ueda Ankake Yakisoba — Nagano's fried noodles under a mustard-spiked sauce,長野県,上田市,36.4021,138.2489,,dish,長野県上田市で親しまれるあんかけ焼きそば。揚げ焼きにした細い縮れ麺にとろみのある餡をかけ、酢で溶いたからしを添えて混ぜて食べるのが土地の型とされる。長野市の中華料理店の系譜が広まったと伝わる。,"An ankake yakisoba beloved in Ueda, Nagano: thin, curly noodles fried crisp and topped with a thick, glossy sauce, mixed with mustard dissolved in vinegar before eating. It's said to trace to a Chinese restaurant lineage that began in the city of Nagano.",上田のソウルフード「あんかけ焼きそば」の魅力に迫る,https://ueda-kanko.or.jp/blog/special_ankakeyakisoba/,信州上田観光協会,2026-09-08
soup-yakisoba,スープ入り焼きそば,Soup Yakisoba,Soup Yakisoba — Nasushiobara's sauce yakisoba drowned in soy broth,栃木県,那須塩原市塩原,36.969,139.797,,dish,栃木県那須塩原市の塩原温泉で50年以上親しまれてきた一皿。炒めたソース焼きそばを丼に入れ、醤油味のスープを注いで作る。見た目はラーメンでも、口に運ぶと焼きそばの食感が残るという。,"A dish enjoyed for more than fifty years at the Shiobara hot spring in Nasushiobara, Tochigi: freshly fried sauce yakisoba is put into a bowl and covered with a soy-based broth. It looks like ramen, but the texture in the mouth stays that of yakisoba.",スープ入り焼きそば,https://www.siobara.or.jp/gourmet/yakisoba/,塩原温泉観光協会,2026-09-08
omigawa-curry-yakisoba,小見川カレー焼きそば,Omigawa Curry Yakisoba,Omigawa Curry Yakisoba — Chiba's ramen-like curry-dusted yakisoba,千葉県,香取市小見川,35.8836,140.628,,dish,千葉県香取市小見川で親しまれる一皿。名前は焼きそばだが、中身はソース味のつゆが入ったラーメンに近く、そこへカレー粉をふりかけて食べる。黒部川沿いにあった一軒の店が発祥と伝わる。,"A dish loved in Omigawa, part of Katori city in Chiba. Despite the name, it looks more like a bowl of ramen with a sauce-flavored broth, dusted with curry powder before eating. It's said to trace to a single shop that once stood along the Kurobe River.",小見川カレー焼きそば,https://maruchiba.jp/gourmet/spot/detail_11107.html,まるごとちば（千葉県観光物産協会）,2026-09-08
aizu-curry-yakisoba,会津カレー焼きそば,Aizu Curry Yakisoba,Aizu Curry Yakisoba — sauce yakisoba topped with a curry roux in Fukushima,福島県,会津若松市,37.495,139.9297,,dish,福島県会津若松市で広まったソース焼きそばにカレーのルーをのせる一皿。食堂「トミーフード」が焼きそばにカレーをかけて出したのが始まりとされ、安さとボリュームで若者を中心に人気を集めたと伝わる。,"A dish from Aizuwakamatsu, Fukushima: sauce yakisoba topped with curry roux. It's said to trace to a diner called Tommy Food, which began ladling curry over its yakisoba, catching on especially among young diners for its low price and filling size.",会津カレー焼きそば,https://samurai-city.jp/ja/food/1522,samurai-city.jp（会津若松市観光公社）,2026-09-08
nakaminato-yakisoba,那珂湊焼きそば,Nakaminato Yakisoba,Nakaminato Yakisoba — Ibaraki's fishing-port yakisoba with hand-stretched steamed noodles,茨城県,ひたちなか市那珂湊,36.3897,140.5975,,dish,茨城県ひたちなか市那珂湊で60年以上親しまれてきた焼きそば。もっちりとした食感の「手延べせいろ蒸し麺」を使うのが土地の型とされ、地元のソウルフードとしてB-1グランプリにも出場した。,"A yakisoba enjoyed for more than sixty years in Nakaminato, part of Hitachinaka city in Ibaraki. Its identity rests on a chewy, hand-stretched noodle steamed in a bamboo basket, a local soul food that has been entered at B-1 Grand Prix events.",那珂湊焼きそば,https://www.ibarakiguide.jp/gourmet/famous_food/page000458.html,いばらきグルメ・ガイド（茨城県観光物産協会）,2026-09-08
horusoba,ホルそば,Horusoba,Horusoba — Tottori's beef-offal yakisoba fried in a miso tare,鳥取県,鳥取市,35.5011,134.2351,,dish,鳥取県東部で50年以上食べられている一皿。牛ホルモンと野菜を味噌だれで炒めた中に中華そばの麺を加えて仕上げる。焼肉屋やホルモン屋から生まれ、鳥取市を中心に今も広く提供されている。,"A dish eaten for more than fifty years in eastern Tottori: beef offal and vegetables stir-fried in a miso-based sauce, with Chinese-style noodles added in. Born at yakiniku and offal restaurants, it's still widely served around Tottori city today.",鳥取県東部で50年愛される牛ホルモン入り焼きそば「ホルそば」,https://www.pref.tottori.lg.jp/178223.htm,鳥取県,2026-09-08
