slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
koshihikari,コシヒカリ,Koshihikari,the standard-setting sticky rice grown nationwide,,,,,,ingredient,強い粘りと甘みで日本の食味の基準とされる品種。1956年に育成され、冷めてもおいしく、新潟県魚沼産が最上級ブランドとして全国的に知られているという。作付面積は全国最大級とされ、他品種の交配親としても広く使われているという。,"A benchmark for stickiness and sweetness since its 1956 debut, said to stay tasty even cooled; Niigata's Uonuma region grows the most celebrated version nationwide. Its planted area is said to be the nation's largest, and it's often used as a parent line for newer varieties.",コシヒカリ,https://ja.wikipedia.org/wiki/コシヒカリ,Wikipedia,2026-09-06
akitakomachi,あきたこまち,Akitakomachi,a Koshihikari cross bred for Akita's cold climate,,,,,,ingredient,コシヒカリを親に持つ品種で、あっさりした甘みと程よい粘りが特徴とされる。秋田県の冷涼な気候に合わせて育成され、日常の食卓米として親しまれているという。名は秋田美人の伝説「小野小町」にちなむとされ、全国でも作付面積上位の品種という。,"A Koshihikari cross bred for Akita's cool climate, said to carry a lighter sweetness and moderate stickiness, long favored as an everyday table rice. Named, it's said, after the legendary beauty Ono no Komachi, it ranks among Japan's most widely planted varieties.",あきたこまち,https://ja.wikipedia.org/wiki/あきたこまち,Wikipedia,2026-09-06
hitomebore,ひとめぼれ,Hitomebore,a cold-hardy Koshihikari relative from Miyagi,,,,,,ingredient,コシヒカリを親に持つ耐冷性の品種とされ、あっさりとした食味が特徴。1991年の記録的な冷害を機に、宮城県で本格的な育成が進んだとされる。現在では宮城県だけでなく東北・関東など幅広い地域で作付けされているとされる。,"A cold-hardy Koshihikari relative with a light taste, said to have been advanced in earnest by Miyagi after the record cold-damage harvest of 1991. Now grown well beyond Miyagi, reportedly across Tohoku and the Kanto region as well.",ひとめぼれ,https://ja.wikipedia.org/wiki/ひとめぼれ,Wikipedia,2026-09-06
hinohikari,ヒノヒカリ,Hinohikari,a heat-tolerant favorite across western Japan,,,,,,ingredient,コシヒカリの孫にあたる品種とされ、暑さに強く西日本で広く作られる。粒はやや小ぶりで、粘りと甘みのバランスが良いとされ、冷めても味が落ちにくいという。「ヒノヒカリ」の名は「日の光」にちなむとされ、九州で最も作付面積の多い品種という。,"A grandchild of Koshihikari, said to be heat-tolerant and widely grown across western Japan, with balanced stickiness and sweetness that holds up when cooled. Its name evokes 'the light of the sun', and it's said to be the most-planted variety in Kyushu.",ヒノヒカリ,https://ja.wikipedia.org/wiki/ヒノヒカリ,Wikipedia,2026-09-06
nanatsuboshi,ななつぼし,Nanatsuboshi,a cooled-and-still-tasty Hokkaido standard,,,,,,ingredient,北海道米の代表品種の一つで、冷めてもおいしさが保たれるとされる。あっさりした食味で和洋どちらの料理にも合うといい、弁当米にも向くという。名は「七つの星」にちなむとされ、北海道の作付面積で上位を占める品種という。,"A flagship Hokkaido variety said to keep its flavor even after cooling, with a light taste that pairs well with both Japanese and Western dishes, and suits bento. Named for 'seven stars', it's said to rank among Hokkaido's most widely planted varieties.",ななつぼし,https://ja.wikipedia.org/wiki/ななつぼし,Wikipedia,2026-09-06
yumepirika,ゆめぴりか,Yumepirika,"Hokkaido's premium, especially sticky rice",,,,,,ingredient,北海道米の中でも特に粘りと甘みが強いとされる品種。「ゆめ」と、アイヌ語で美しいを意味する「ぴりか」から名付けられたといい、冷めても粘りが残るという。食味ランキングで長く特A評価を得てきたとされ、全国的にも知名度が高い品種という。,"Among Hokkaido rice, said to carry unusually strong stickiness and sweetness; its name blends 'yume' (dream) with the Ainu word for beautiful, and it's said to stay sticky even cooled. Said to have long held the top 'special A' taste rating, giving it wide recognition nationwide.",ゆめぴりか,https://ja.wikipedia.org/wiki/ゆめぴりか,Wikipedia,2026-09-06
tsuyahime,つや姫,Tsuyahime,"Yamagata's glossy, restrained-sweetness flagship",,,,,,ingredient,つやと粒の美しさが特徴とされる品種で、しっかりした粒感とほどよい甘みを持つという。2010年に山形県が県を挙げて本格デビューさせたブランド米とされる。食味ランキングで特A評価を重ねてきたとされ、収穫量を抑えて品質を保つ栽培基準があるという。,"Named for its glossy sheen, said to have firm grains and measured sweetness; Yamagata gave it a prefecture-wide full debut as a brand rice in 2010. Said to have repeatedly earned 'special A' ratings, with yields deliberately capped to protect quality.",つや姫,https://ja.wikipedia.org/wiki/つや姫,Wikipedia,2026-09-06
sagabiyori,さがびより,Sagabiyori,"Saga's heat-resistant, big-grain premium rice",,,,,,ingredient,粒が大きく高温にも強いとされる品種で、粘りと甘みが強いという。西日本の温暖化に対応するため佐賀県が育成し、県産米の最上位ブランドとして売り出されているとされる。,"A large-grained, heat-tolerant variety said to carry strong stickiness and sweetness, bred by Saga to cope with warming and sold as its top-tier rice brand.",さがびより,https://ja.wikipedia.org/wiki/さがびより,Wikipedia,2026-09-06
haenuki,はえぬき,Haenuki,"Yamagata's steady, everyday-table standard",,,,,,ingredient,山形県の奨励品種で、粘りと硬さのバランスが良く冷めてもおいしいとされる。派手さより日常づかいのしやすさを重視して育成されたという。名は「生え抜き」にちなむとされ、山形県の作付面積で長く一位を占めてきたという。,"A recommended Yamagata variety said to balance stickiness and firmness and stay tasty when cooled, bred for everyday usability rather than flashiness. Its name evokes 'born and bred here', and it's said to have long led Yamagata's planted acreage.",はえぬき,https://ja.wikipedia.org/wiki/はえぬき,Wikipedia,2026-09-06
kinumusume,きぬむすめ,Kinumusume,"a soft, mild-sweetness variety of western Japan",,,,,,ingredient,「絹のような艶」から名付けられたとされる品種で、粒がやわらかく上品な甘みを持つという。西日本の中国地方を中心に、近年作付けが広がっているとされる。コシヒカリより暑さに強いとされ、温暖化に対応する品種として注目されているという。,"Named for a silk-like sheen, said to have soft grains and a gentle sweetness; cultivation has reportedly spread in recent years across the Chugoku region. Said to tolerate heat better than Koshihikari, drawing attention as a variety suited to a warming climate.",きぬむすめ,https://ja.wikipedia.org/wiki/きぬむすめ,Wikipedia,2026-09-06
