item_slug,tag_slug
aizu-yamajio,chinese_derived
akayu-karamiso,chinese_derived
anyoji,chinese_derived
asahikawa,chinese_derived
banshu,chinese_derived
beppu-reimen,chinese_derived
fujieda-asa,chinese_derived
fujioka,chinese_derived
hachinohe,chinese_derived
hachioji,chinese_derived
hakata,chinese_derived
hakodate,chinese_derived
hiroshima,chinese_derived
hitachinaka-stamina,chinese_derived
jumonji,chinese_derived
kagoshima,chinese_derived
kasaoka,chinese_derived
katsuura-tantan,chinese_derived
kawasaki-new-tantan,chinese_derived
kitakata,chinese_derived
koriyama-black,chinese_derived
kumamoto,chinese_derived
kure-reimen,chinese_derived
kurume,chinese_derived
kushiro,chinese_derived
kyoto,chinese_derived
miso-curry-milk,chinese_derived
miyako,chinese_derived
miyako-soba,chinese_derived
miyazaki,chinese_derived
morioka-reimen,chinese_derived
muroran-curry,chinese_derived
nabeyaki-susaki,chinese_derived
nagaoka-shoga,chinese_derived
nagasaki-champon,chinese_derived
naha-soba,chinese_derived
obama-champon,chinese_derived
ofunato-sanma,chinese_derived
onomichi,chinese_derived
saga,chinese_derived
sakata,chinese_derived
sanjo-curry,chinese_derived
sanmamen,chinese_derived
sano,chinese_derived
sapporo,chinese_derived
sendai-karamiso,chinese_derived
shimodate,chinese_derived
shinjo-torimotsu,chinese_derived
shirakawa,chinese_derived
soki-soba,chinese_derived
taiwan-ramen,chinese_derived
takaida,chinese_derived
takayama,chinese_derived
takeoka,chinese_derived
tenri,chinese_derived
tobata-champon,chinese_derived
tokushima,chinese_derived
tokyo,chinese_derived
tottori-gyukotsu,chinese_derived
toyama-black,chinese_derived
tsubame-seabura,chinese_derived
tsugaru,chinese_derived
tsuruga,chinese_derived
wakayama,chinese_derived
yaeyama-soba,chinese_derived
yamagata-hiyashi,chinese_derived
yawatahama-champon,chinese_derived
yokohama,chinese_derived
yonezawa,chinese_derived
beppu-reimen,cold_served
kure-reimen,cold_served
morioka-reimen,cold_served
miyako-soba,ryukyu
naha-soba,ryukyu
soki-soba,ryukyu
yaeyama-soba,ryukyu
bibai-yakitori,skewered
bonjiri,skewered
higashimatsuyama-yakitori,skewered
imabari-yakitori,skewered
kawa,skewered
kurume-yakitori,skewered
muroran-yakitori,skewered
nagato-yakitori,skewered
negima,skewered
reba,skewered
seseri,skewered
sunagimo,skewered
tsukune,skewered
yagen-nankotsu,skewered
ankake-supa,yoshoku
napolitan,yoshoku
spa-katsu,yoshoku
tsuke-napolitan,yoshoku
