status,pref,name_ja,slug_or_hint1,matched_existing_name_or_hint2,matched_via_or_reason
existing,北海道,札幌ラーメン,sapporo,札幌ラーメン,exact
existing,北海道,旭川ラーメン,asahikawa,旭川ラーメン,exact
existing,北海道,函館ラーメン,hakodate,函館ラーメン,exact
existing,北海道,釧路ラーメン,kushiro,釧路ラーメン,exact
existing,北海道,カレーラーメン,muroran-curry,室蘭カレーラーメン,地名ゆれ(室蘭カレーラーメン)
existing,青森県,津軽中華そば,tsugaru,津軽ラーメン,同一視(既存名=津軽ラーメン、県内唯一候補)
existing,青森県,味噌カレー牛乳ラーメン,miso-curry-milk,味噌カレー牛乳ラーメン,exact
existing,青森県,つゆやきそば,kuroishi-tsuyu-yakisoba,黒石つゆやきそば,地名ゆれ(黒石つゆやきそば)
existing,青森県,八戸ラーメン,hachinohe,八戸らーめん,表記ゆれ(八戸らーめん)
existing,岩手県,宮古ラーメン,miyako,宮古ラーメン,exact
existing,岩手県,大船渡さんまラーメン,ofunato-sanma,大船渡さんまらーめん,表記ゆれ(大船渡さんまらーめん)
existing,岩手県,じゃじゃ麺,jajamen,盛岡じゃじゃ麺,地名ゆれ(盛岡じゃじゃ麺)
existing,岩手県,盛岡冷麺,morioka-reimen,盛岡冷麺,exact
existing,秋田県,十文字ラーメン,jumonji,十文字中華そば,表記ゆれ(十文字中華そば)
existing,宮城県,辛味噌ラーメン,sendai-karamiso,仙台辛味噌ラーメン,地名ゆれ(仙台辛味噌ラーメン)
existing,山形県,冷やしラーメン,yamagata-hiyashi,冷やしラーメン,exact
existing,山形県,酒田ラーメン,sakata,酒田ラーメン,exact
existing,山形県,とりもつラーメン,shinjo-torimotsu,とりもつラーメン,exact
existing,山形県,米沢ラーメン,yonezawa,米沢ラーメン,exact
existing,福島県,喜多方ラーメン,kitakata,喜多方ラーメン,exact
existing,福島県,白河ラーメン,shirakawa,白河ラーメン,exact
existing,福島県,郡山ブラックラーメン,koriyama-black,郡山ブラック,表記ゆれ(郡山ブラック)
existing,新潟県,長岡生姜醤油ラーメン,nagaoka-shoga,長岡生姜醤油ラーメン,exact
existing,新潟県,燕背脂ラーメン,tsubame-seabura,燕背脂ラーメン,exact
