slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
izumo,出雲そば,Izumo Soba,"Dark, whole-grain buckwheat noodles stacked in round lacquered trays",島根県,出雲市,35.3667,132.7594,,そばの実を殻ごと挽く「挽きぐるみ」製法で作られる島根県のそば。丸い漆器の「割子」に何段も盛る割子そばと、出雲大社周辺で振る舞われた釜揚げそばの二つの食べ方がある。,"A Shimane soba milled whole, husk included, for its dark color and strong flavor. It is served two ways: warigo-soba stacked in round lacquered trays, and kamaage-soba once handed out around Izumo Taisha shrine.",出雲そば商組合ホームページ,https://www.izumo-soba.jp/,出雲そば商組合,2026-08-21
togakushi,戸隠そば,Togakushi Soba,Mountain-shrine noodles bundled into small round nests,長野県,長野市戸隠,36.7261,138.1136,,長野市戸隠の神社周辺で参拝客をもてなす料理として広まったそば。「ぼっち盛り」と呼ばれる、一口分ずつ丸くまとめて並べる独特の盛り付けをする。,"A soba that spread as hospitality for pilgrims around the shrines of Togakushi, Nagano. It is served in a distinctive style called bocchi-mori, small round bundles arranged side by side.",戸隠そば,https://togakushi-21.jp/spot/genre/soba/,戸隠観光協会,2026-08-21
wanko,わんこそば,Wanko Soba,Bite-sized noodles refilled bowl after bowl until you signal stop,岩手県,花巻市,39.3897,141.1128,,岩手県花巻市に伝わる、一口大のそばを次々におかわりする食べ方。藩主にそばを椀で少しずつ振る舞ったのが由来とされる。,"A style from Hanamaki, Iwate, where bite-sized portions of soba are refilled bowl after bowl. It is said to derive from a lord being served small portions of soba, one bowlful at a time.",第68回わんこそば全日本大会,https://www.kanko-hanamaki.ne.jp/special/wankosoba/,花巻観光協会,2026-08-21
hegi,へぎそば,Hegi Soba,"Glossy noodles bound with seaweed, laid in wave-folded servings",新潟県,小千谷市,37.3197,138.7967,,新潟県小千谷市で、織物の糸を糊付けする海藻「布海苔」をつなぎに使い始めたそば。「へぎ」と呼ばれる木箱に一口ずつ盛り付ける。,"A soba from Ojiya, Niigata, that uses funori seaweed, the same binder once used to size thread for the region's textiles, as a noodle binder. It is arranged in small bite-sized portions on a wooden box called a hegi.",小千谷名物「へぎそば」,https://www.city.ojiya.niigata.jp/site/kanko/hegisoba.html,小千谷市,2026-08-21
echizen-oroshi,越前おろしそば,Echizen Oroshi Soba,Cold buckwheat noodles topped with grated daikon and bonito,福井県,越前市,35.9036,136.2833,,福井県越前市に伝わる、大根おろしと削り節をのせて食べる冷たいそば。城主が京都から呼んだそば職人が非常食としてそば栽培を奨励したのが始まりとされる。,"A cold soba from Echizen, Fukui, topped with grated daikon and bonito flakes. It is said to originate with a soba maker a local lord brought from Kyoto to promote buckwheat as an emergency food crop.",越前おろしそば 国府麺遊記,https://www.echizen-tourism.jp/soba,越前市観光協会,2026-08-21
jindaiji,深大寺そば,Jindaiji Soba,Temple-town noodles once reserved for the shogun's table,東京都,調布市深大寺,35.6669,139.5433,,東京都調布市の深大寺で、小作人が寺に納めたそば粉を寺が来客にふるまったのが始まりとされる。江戸時代には将軍家にも献上された。,"Said to have begun at Jindai-ji temple in Chofu, Tokyo, where tenant farmers paid rent in buckwheat flour that the temple served to visitors. In the Edo period it was even presented to the shogunate.",深大寺そば,https://csa.gr.jp/contents/1211,調布市観光協会,2026-08-21
yamato,山都そば,Yamato Soba,100%-buckwheat noodles from a mountain hamlet in Aizu,福島県,喜多方市山都町,37.5478,139.7511,,福島県喜多方市山都町に伝わる、つなぎを使わない十割そば。飯豊山からの伏流水と冷涼な気候がそば栽培に適し、昭和末期に地域おこしとしてブランド化された。,"A 100%-buckwheat soba, made with no binder, from Yamato in Kitakata, Fukushima. Cold spring water flowing from Mt. Iide and a cool climate suit the crop, and the noodle was branded as a local revitalization project in the late Showa era.",山都そば,https://www.city.kitakata.fukushima.jp/soshiki/sangyo-y/31433.html,喜多方市,2026-08-21
ita,板そば,Ita Soba,Buckwheat noodles heaped on a long cedar board for sharing,山形県,村山市,38.4739,140.3872,,山形県村山市周辺に伝わる、杉板の箱に山盛りに盛るそば。共同作業の後に振る舞う「そば振る舞い」の風習から、大勢で分け合いやすい盛り付けが広まった。,"A soba from the Murayama area of Yamagata, heaped onto a shallow cedar box. The custom of treating neighbors to soba after shared farm work favored a serving style everyone could eat from together.",最上川三難所そば街道加盟店,https://www.city.murayama.lg.jp/kanko/soba/sobakaidou-kameiten.html,村山市,2026-08-21
tomikura,富倉そば,Tomikura Soba,Rare mountain noodles bound with wild thistle-leaf fiber,長野県,飯山市富倉,36.9,138.32,,長野県飯山市富倉地区に伝わるそば。つなぎに小麦粉ではなく、山野草オヤマボクチの葉から取った繊維を使う、他に類を見ない製法で作られる。,"A soba from the Tomikura district of Iiyama, Nagano, bound not with wheat flour but with fiber extracted from the leaves of a wild thistle called oyama-bokuchi, a method found nowhere else.",飯山市に幻のそば富倉そば調査隊,https://www.iiyama-ouendan.net/special/tomikura/,信州いいやま観光局,2026-08-21
iya,祖谷そば,Iya Soba,"Short, thick noodles from a steep mountain valley in Shikoku",徳島県,三好市東祖谷,33.8686,133.8524,,徳島県三好市祖谷地方に伝わる、つなぎを使わない太めのそば。米作りに向かない山あいの土地で、栽培期間の短いそばが主食として根付いた。,"A thick, binder-free soba from the Iya valley in Miyoshi, Tokushima. In this mountain terrain unsuited to rice, buckwheat's short growing season made it the staple crop.",そば道場【祖谷そば】,https://miyoshi-tourism.jp/spot/4798/,三好市（大歩危祖谷ナビ）,2026-08-21
