slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
sanuki,讃岐うどん,Sanuki Udon,"Firm, chewy wheat noodles from Kagawa, the udon prefecture",香川県,綾川町（滝宮）,34.1899,133.9989,,空海が唐から製法を持ち帰ったと伝わる香川県のうどん。強いコシと澄んだいりこ出汁が特徴で、県内には自分で麺を茹でるセルフ式の店も多い。,"Kagawa's udon is said to trace back to noodle-making methods Kukai brought home from Tang China. Known for a firm bite and a clear dried-sardine broth, many shops let diners boil their own noodles at self-service counters.",うどん｜香川県観光協会公式サイト うどん県旅ネット,https://www.my-kagawa.jp/udon,香川県観光協会,2026-08-21
inaniwa,稲庭うどん,Inaniwa Udon,"Thin, hand-stretched dried noodles from Akita",秋田県,湯沢市稲庭町,39.19,140.475,,秋田県湯沢市稲庭町に伝わる手延べの乾麺うどん。江戸時代には秋田藩主への献上品とされ、長年製法が一子相伝で守られてきた。,"A hand-stretched dried noodle from Inaniwa, in Akita's Yuzawa city. Once presented to the Akita domain's lord, its production method was long kept within a single family line.",稲庭うどんとは,http://inaniwa-udon.jp/about/,秋田県稲庭うどん協同組合,2026-08-21
mizusawa,水沢うどん,Mizusawa Udon,"Springy temple-town noodles from Ikaho, Gunma",群馬県,渋川市伊香保町水沢,36.4728,138.9319,,群馬県渋川市の水澤観音の門前で参拝客に振る舞われたのが始まりとされる。透明感のある細めの麺を、しょうゆだれやごまだれにつけて食べる。,"Said to have begun as noodles served to pilgrims outside Mizusawa Kannon temple in Gunma. The thin, translucent noodles are dipped in soy- or sesame-based sauce.",水沢うどん,https://www.ikaho-kankou.com/eat/udon/,渋川伊香保温泉観光協会,2026-08-21
goto,五島うどん,Goto Udon,Thin hand-pulled noodles made with island camellia oil,長崎県,南松浦郡新上五島町,33.0,129.1167,,長崎県新上五島町で作られる手延べうどん。遣唐使が伝えた製法が起源とされ、島の椿油を使って延ばすことでコシとつるりとした喉ごしが生まれる。,"A hand-pulled noodle from Shinkamigoto, Nagasaki. Its technique is thought to trace back to envoys returning from Tang China, and the island's camellia oil is worked into the dough for a smooth, elastic bite.",「五島手延うどん」の歴史,https://www.goto-udon.jp/about/history/,五島手延うどん協同組合,2026-08-21
ise,伊勢うどん,Ise Udon,"Very soft noodles in a thick, dark soy-tamari sauce",三重県,伊勢市,34.4877,136.7096,,伊勢神宮の参拝客をもてなす茶店で提供されてきたうどん。極太で柔らかい麺に、たまり醤油ベースの黒く濃いたれをからめて食べる。,"Served for generations at teahouses along the approach to Ise Shrine, this udon pairs very thick, soft noodles with a dark, concentrated tamari-based sauce.",伊勢うどん,https://www.city.ise.mie.jp/cul_spo_edu/culture/bunkazai_shiseki/iseudon.html,伊勢市,2026-08-21
hakata-udon,博多うどん,Hakata Udon,Soft noodles from the temple town where udon itself began,福岡県,福岡市博多区,33.5936,130.4181,,中国から製粉技術を持ち帰った聖一国師にゆかりのある承天寺周辺で広まったとされる。柔らかい麺とやさしい出汁に、ごぼう天や丸天をのせる店が多い。,"Said to have spread from the area around Shofuku-ji, the temple linked to the monk who brought milling techniques back from China. Shops typically pair soft noodles and mild broth with burdock or fish-cake tempura.",まるごと福岡博多｜うどんも、そばも、まんじゅうも博多発祥,https://showcase.city.fukuoka.lg.jp/column/clm0025.html,福岡市,2026-08-21
yoshida,吉田のうどん,Yoshida no Udon,"Extra-firm noodles from the foot of Mt. Fuji, topped with horse meat",山梨県,富士吉田市,35.4875,138.8069,,富士山麓の富士吉田市に伝わる、非常に硬くコシの強い麺のうどん。織物業が盛んだった土地柄、女性が仕事の合間に食べやすいよう男性が作った説がある。,"A markedly firm, chewy udon from Fujiyoshida at the foot of Mt. Fuji. One account ties it to the town's textile industry, with men preparing quick meals so the women weaving cloth could keep working.",地元高校生激推し！富士吉田市のソウルフード「吉田のうどん」,https://www.yamanashi-kankou.jp/special/yoshidanoudon_osusume.html,山梨県（富士の国やまなし観光ネット）,2026-08-21
kazo,加須うどん,Kazo Udon,Wheat-country noodles pounded extra long for their bite,埼玉県,加須市,36.1214,139.6013,,利根川の渡し場や總願寺の門前で参拝客をもてなしたことに始まるとされる埼玉県加須市のうどん。通常より多く踏み込み、寝かせることでコシを引き出す。,"Said to have begun where travelers crossed the Tone River and at the gates of Sogan-ji temple in Kazo, Saitama. The dough is kneaded and rested longer than usual to build extra chew.",加須うどん,https://www.city.kazo.lg.jp/soshiki/shougyou_kankou/udon/5645.html,加須市,2026-08-21
musashino,武蔵野うどん,Musashino Udon,"Thick, dark noodles from the wheat farms of the Musashino plateau",東京都,小平市（武蔵野台地）,35.7264,139.4767,,水が乏しい武蔵野台地で米の代わりに小麦が栽培され、冠婚葬祭の振る舞いとして根付いたうどん。濃いめのしょうゆだれの肉汁につけて食べる。,"With little water for rice paddies, the Musashino plateau grew wheat instead, and this udon became a dish served at weddings and funerals. It is dipped in a strong soy-sauce broth simmered with pork.",武蔵野うどんの歴史,https://www.musashinoudon.com/?page_id=133,武蔵野手打ちうどん保存普及会,2026-08-21
kishimen,きしめん,Kishimen,"Wide, flat wheat noodles from the Nagoya area",愛知県,名古屋市,35.1815,136.9066,,江戸時代の史料に「江戸のひもかわを尾張ではきしめんという」と記された、幅の広い平打ち麺。名古屋を中心とした愛知県で広く食べられている。,"A wide, flat noodle recorded in Edo-period writings as Owari's name for what Edo called himokawa. It is widely eaten across Aichi Prefecture, centered on Nagoya.",きしめん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kishimen_aichi.html,農林水産省,2026-08-21
miso-nikomi,味噌煮込みうどん,Miso Nikomi Udon,"Firm noodles simmered in red miso broth, served bubbling in its pot",愛知県,一宮市,35.3039,136.8036,,明治初期に一宮市の飲食店で提供され始めたとされる愛知県の郷土料理。豆味噌仕立ての汁でコシの強い麺を煮込み、土鍋のまま供する。,An Aichi specialty said to have first been served at eateries in Ichinomiya in the early Meiji era. Firm noodles are simmered in a broth built on soybean miso and brought to the table still bubbling in its clay pot.,味噌煮込みうどん,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/misonikomiudon_aichi.html,農林水産省,2026-08-21
mimi,耳うどん,Mimi Udon,Ear-shaped New Year dumplings folded from udon dough,栃木県,佐野市仙波町,36.3803,139.5344,,栃木県佐野市仙波町などに伝わる正月料理。うどん生地を鬼の耳に見立てて折りたたみ、一年間悪いことが聞こえないようにとの願いが込められている。,"A New Year's dish from Senba, in Sano, Tochigi. Udon dough is folded into the shape of a demon's ear, carrying a wish that no misfortune will be heard in the year ahead.",耳うどん,https://www.tochigiji.or.jp/spot/s9618,栃木県観光物産協会（とちぎ旅ネット）,2026-08-21
himi,氷見うどん,Himi Udon,Hand-stretched noodles from a fishing town on the Toyama coast,富山県,氷見市,36.8578,136.9861,,富山県氷見市で江戸時代中期、輪島の素麺の技法を取り入れて作られ始めた手延べうどん。加賀藩への献上品でもあった。,"A hand-stretched udon developed in Himi, Toyama, in the mid-Edo period by adapting somen-making techniques from Wajima. It was once presented to the Kaga domain as tribute.",富山県 氷見のうどん（ひみのうどん）,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/himi_no_udon.html,農林水産省,2026-08-21
