slug,name_ja,name_romaji,name_en,origin_pref,origin_city,lat,lng,primary_style,type,summary_ja,summary_en,source_title,source_url,source_publisher,source_accessed_at
seseri,せせり,Seseri,chicken neck meat,,,,,,ingredient,首の肉。よく動く部位なので身が締まり、脂と歯ごたえの釣り合いがよい。,"Neck meat. A hard-working muscle, firm to the bite with just enough fat.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
bonjiri,ぼんじり,Bonjiri,"chicken tail, the fattiest cut",,,,,,ingredient,尾骨まわりの肉。最も脂の乗る部位で、皮目を焼き切って食べる。,"The meat around the tailbone — the fattiest cut, grilled until the surface crisps.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
yagen-nankotsu,やげん軟骨,Yagen Nankotsu,breastbone cartilage eaten for its crunch,,,,,,ingredient,胸骨の先の軟骨。こりこりとした歯ざわりを楽しむ。,"Cartilage from the tip of the breastbone, eaten for the crunch.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
negima,ねぎま,Negima,chicken and long onion on one skewer,,,,,,ingredient,もも肉と長ねぎを交互に刺した定番。ねぎの甘みが脂を受け止める。,"The classic: thigh meat alternating with long onion, whose sweetness carries the fat.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
tsukune,つくね,Tsukune,minced chicken meatballs on a skewer,,,,,,ingredient,鶏挽き肉を練って握った串。タレで焼き、卵黄を添える店も多い。,"Skewered balls of minced chicken, grilled in tare; many shops add an egg-yolk dip.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
kawa,かわ,Kawa,chicken skin grilled crisp,,,,,,ingredient,皮を波状に刺し、脂を落としながらかりっと焼き上げる。,Skin folded onto the skewer and grilled crisp as the fat renders away.,焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
sunagimo,砂肝,Sunagimo,chicken gizzard with a clean snap,,,,,,ingredient,筋胃。脂がほとんど無く、独特の歯ごたえがある。,"The gizzard — nearly fat-free, with a distinctive clean snap.",焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
reba,レバー,Reba,"chicken liver, texture turns on the grilling",,,,,,ingredient,肝臓の串。火加減ひとつで食感が大きく変わる。,Liver skewers whose whole character turns on the grilling.,焼き鳥の種類,https://alex-co.jp/free/syurui,一般社団法人 日本焼き鳥協会,2026-08-18
muroran-yakitori,室蘭やきとり,Muroran Yakitori,"pork skewers with hot mustard, still called yakitori",北海道,室蘭市,42.3152,140.9740,,dish,鶏ではなく豚肩ロースと玉ねぎの串。洋がらしを付けて食べるが、名前は「やきとり」のまま。,"Not chicken but pork shoulder with onion, eaten with hot mustard — yet still called yakitori.",北海道の2大ご当地焼き鳥,https://satumeshi.com/column/3589/,サツメシ,2026-08-18
bibai-yakitori,美唄やきとり,Bibai Yakitori,the whole bird on a single skewer,北海道,美唄市,43.3327,141.8586,,dish,モツを中心に、内臓から皮まで一羽分を一本の串に刺す。,"One skewer carries the whole bird — offal, skin and all.",北海道の2大ご当地焼き鳥,https://satumeshi.com/column/3589/,サツメシ,2026-08-18
higashimatsuyama-yakitori,東松山やきとり,Higashimatsuyama Yakitori,pork cheek skewers with spicy miso,埼玉県,東松山市,36.0421,139.3999,,dish,豚のカシラ肉を炭火で焼き、辛味噌だれを付けて食べる。,Pork cheek grilled over charcoal and brushed with a spicy miso sauce.,ご当地やきとり（全や連総本店）,https://allabout.co.jp/gm/gc/427911/,All About,2026-08-18
imabari-yakitori,今治焼き鳥,Imabari Yakitori,"yakitori pressed on an iron griddle, not skewered",愛媛県,今治市,34.0663,132.9979,,dish,串に刺さず、鉄板で押さえ付けて焼く。皮のかりっとした食感が身上。,Pressed flat on an iron griddle instead of skewered; prized for its crisp skin.,ご当地やきとり（全や連総本店）,https://allabout.co.jp/gm/gc/427911/,All About,2026-08-18
nagato-yakitori,長門やきとり,Nagato Yakitori,a yakitori town eaten with garlic powder,山口県,長門市,34.3711,131.1823,,dish,人口あたりの焼き鳥店数が全国有数の街。ガーリックパウダーを振って食べる。,One of Japan's densest yakitori towns; the local habit is a dusting of garlic powder.,ご当地やきとり（全や連総本店）,https://allabout.co.jp/gm/gc/427911/,All About,2026-08-18
kurume-yakitori,久留米焼きとり,Kurume Yakitori,the skewer town where everything goes on a stick,福岡県,久留米市,33.3193,130.5083,,dish,鶏に限らず豚・牛・馬まで串になる。ダルムなど独特の呼び名を持つ。,"Chicken is only the start — pork, beef and horse all go on the stick, with local names like darumu.",久留米焼きとり,https://kurume-kouiki.jp/gourmet/g_article/910/,久留米広域連携中枢都市圏,2026-08-18
